,Cluster,Antibody
95,0,BD57-002
96,0,BD57-010
97,0,BD57-017
98,0,BD57-024
99,0,BD57-0323
100,0,BD57-037
101,0,BD57-042
102,0,BD57-043
103,0,BD57-047
104,0,BD57-065
105,0,BD57-078
106,0,C034
107,0,C083
108,0,C093
109,0,C516
110,0,COV2-2098
111,0,COV2-2353
112,0,COV2-2413
113,0,COV2-2693
114,0,CV30
115,0,CV38-142
116,0,DH1140
117,0,LY-CoV481
118,0,XG2v-039
119,0,XG2v-098
120,0,XGv-052
121,0,XGv-191
122,0,XGv-261
123,0,XGv-287
124,0,XGv-324
125,0,XGv-412
126,1,BD55-1442
127,1,BD55-5836
128,1,BD55-5946
129,1,BD55-616
130,1,BD55-977
131,1,BD56-032
132,1,BD56-068
133,1,BD56-076
134,1,BD56-078
135,1,BD56-092
136,1,BD56-099
137,1,BD56-115
138,1,BD56-1650
139,1,BD56-1658
140,1,BD56-1667
141,1,BD56-1699
142,1,BD56-1729
143,1,BD56-1756
144,1,BD56-1765
145,1,BD56-1768
146,1,BD56-1817
147,1,BD56-1819
148,1,BD56-1912
149,1,BD56-443
150,1,BD56-464
151,1,BD56-507
152,1,BD56-546
153,1,BD56-608
154,1,BD56-951
155,1,BD56-974
156,1,BD57-051
157,1,BD57-070
158,1,BD57-085
159,1,Ehling_mAb-82
160,1,XGv-212
161,2,1-57
162,2,BD-467
163,2,BD-507
164,2,BD-612
165,2,BD-667
166,2,BD-758
167,2,BD-812
168,2,BD-817
169,2,BD-821
170,2,BD-824
171,2,BD-864
172,2,BD-907
173,2,BD-918
174,2,BD55-1039
175,2,BD55-1109
176,2,BD55-1233
177,2,BD55-1294
178,2,BD55-1339
179,2,BD55-1432
180,2,BD55-2532
181,2,BD55-3152
182,2,BD55-3337
183,2,BD55-3433
184,2,BD55-3440
185,2,BD55-3485
186,2,BD55-44
187,2,BD55-4495
188,2,BD55-4664
189,2,BD55-5303
190,2,BD55-5319
191,2,BD55-5382
192,2,BD55-5449
193,2,BD55-5473
194,2,BD55-5549
195,2,BD55-5585
196,2,BD55-5591
197,2,BD55-5697
198,2,BD55-5779
199,2,BD55-880
200,2,BD55-935
201,2,BD55-947
202,2,BD56-016
203,2,BD56-028
204,2,BD56-040
205,2,BD56-054
206,2,BD56-071
207,2,BD56-1228
208,2,BD56-1252
209,2,BD56-1254
210,2,BD56-1256
211,2,BD56-1258
212,2,BD56-1286
213,2,BD56-1290
214,2,BD56-1295
215,2,BD56-1303
216,2,BD56-1305
217,2,BD56-1322
218,2,BD56-1422
219,2,BD56-1447
220,2,BD56-1450
221,2,BD56-1453
222,2,BD56-1457
223,2,BD56-1466
224,2,BD56-1470
225,2,BD56-1474
226,2,BD56-1479
227,2,BD56-1517
228,2,BD56-1612
229,2,BD56-1616
230,2,BD56-1652
231,2,BD56-1661
232,2,BD56-1689
233,2,BD56-1691
234,2,BD56-1693
235,2,BD56-1701
236,2,BD56-1711
237,2,BD56-1714
238,2,BD56-1716
239,2,BD56-1727
240,2,BD56-1730
241,2,BD56-1740
242,2,BD56-1760
243,2,BD56-1762
244,2,BD56-1769
245,2,BD56-1781
246,2,BD56-1782
247,2,BD56-1790
248,2,BD56-1797
249,2,BD56-1798
250,2,BD56-181
251,2,BD56-1811
252,2,BD56-1814
253,2,BD56-1821
254,2,BD56-1825
255,2,BD56-1827
256,2,BD56-1842
257,2,BD56-1857
258,2,BD56-1866
259,2,BD56-1878
260,2,BD56-1885
261,2,BD56-1891
262,2,BD56-1894
263,2,BD56-1909
264,2,BD56-1910
265,2,BD56-1911
266,2,BD56-1923
267,2,BD56-327
268,2,BD56-410
269,2,BD56-419
270,2,BD56-454
271,2,BD56-458
272,2,BD56-476
273,2,BD56-495
274,2,BD56-500
275,2,BD56-524
276,2,BD56-535
277,2,BD56-538
278,2,BD56-566
279,2,BD56-581
280,2,BD56-587
281,2,BD56-592
282,2,BD56-615
283,2,BD56-646
284,2,BD56-647
285,2,BD56-671
286,2,BD56-682
287,2,BD56-719
288,2,BD56-729
289,2,BD56-739
290,2,BD56-926
291,2,BD56-937
292,2,BD56-949
293,2,BD56-963
294,2,BD57-001
295,2,BD57-028
296,2,BD57-039
297,2,BD57-045
298,2,BD57-058
299,2,BD57-059
300,2,BD57-061
301,2,BD57-073
302,2,BD57-082
303,2,BD58-0588
304,2,C119
305,2,C556
306,2,COV2-2064
307,2,COV2-2103
308,2,COV2-2113
309,2,COV2-2268
310,2,COV2-2389
311,2,COV2-2391
312,2,COV2-2539
313,2,COV2-2760
314,2,COV2-2819
315,2,COVOX-75
316,2,DH1044
317,2,DH1063
318,2,TAU-2230
319,2,XG2v-052
320,2,XG2v-070
321,2,XGv-011
322,2,XGv-016
323,2,XGv-047
324,2,XGv-074
325,2,XGv-174
326,2,XGv-175
327,2,XGv-227
328,2,XGv-263
329,2,XGv-264
330,2,XGv-265
331,2,XGv-266
332,2,XGv-282
333,2,XGv-284
334,2,XGv-285
335,2,XGv-286
336,2,XGv-288
