antibody,ab_group,mean_escape,time,umap_x,umap_y,kmeans_cluster,custom_cluster
1-57,D1,0.0,0.1,1.5994245,1.7816979,17,7
1-57,D1,4.760299625468165e-05,0.2,1.5994245,1.7816979,17,7
1-57,D1,4.3676975945017184e-05,0.30000000000000004,1.5994245,1.7816979,17,7
1-57,D1,0.0,0.4,1.5994245,1.7816979,17,7
1-57,D1,6.48469387755102e-05,0.5,1.5994245,1.7816979,17,7
1-57,D1,0.00015313253012048193,0.6,1.5994245,1.7816979,17,7
1-57,D1,0.0005486330935251799,0.7,1.5994245,1.7816979,17,7
1-57,D1,0.007979503546099291,0.7999999999999999,1.5994245,1.7816979,17,7
1-57,D1,0.006030353982300886,0.8999999999999999,1.5994245,1.7816979,17,7
1-57,D1,0.0036251290322580646,0.9999999999999999,1.5994245,1.7816979,17,7
1-57,D1,0.007084795918367346,1.0999999999999999,1.5994245,1.7816979,17,7
1-57,D1,0.010562479338842974,1.2,1.5994245,1.7816979,17,7
1-57,D1,0.010127908745247148,1.3,1.5994245,1.7816979,17,7
1-57,D1,0.0060254678362573096,1.4000000000000001,1.5994245,1.7816979,17,7
1-57,D1,0.008802236842105262,1.5000000000000002,1.5994245,1.7816979,17,7
1-57,D1,0.013195794871794871,1.6000000000000003,1.5994245,1.7816979,17,7
1-57,D1,0.015704,1.7000000000000004,1.5994245,1.7816979,17,7
1-57,D1,0.028491398601398602,1.8000000000000005,1.5994245,1.7816979,17,7
1-57,D1,0.24715298701298702,1.9000000000000006,1.5994245,1.7816979,17,7
1-57,D1,0.50373284,2.0000000000000004,1.5994245,1.7816979,17,7
1-57,D1,0.569208371040724,2.1000000000000005,1.5994245,1.7816979,17,7
1-57,D1,0.3294605263157895,2.2000000000000006,1.5994245,1.7816979,17,7
1-57,D1,0.1010789156626506,2.3000000000000007,1.5994245,1.7816979,17,7
1-57,D1,0.054844878048780486,2.400000000000001,1.5994245,1.7816979,17,7
1-57,D1,0.0656443661971831,2.500000000000001,1.5994245,1.7816979,17,7
1-57,D1,0.1684390625,2.600000000000001,1.5994245,1.7816979,17,7
1-57,D1,0.40854635135135137,2.700000000000001,1.5994245,1.7816979,17,7
1-57,D1,0.39480225352112674,2.800000000000001,1.5994245,1.7816979,17,7
1-57,D1,0.2604097685185185,2.9000000000000012,1.5994245,1.7816979,17,7
1-57,D1,0.3613796721311476,3.0000000000000013,1.5994245,1.7816979,17,7
1-57,D1,0.6599677483443709,3.1000000000000014,1.5994245,1.7816979,17,7
1-57,D1,0.9141952066115703,3.2000000000000015,1.5994245,1.7816979,17,7
1-57,D1,0.9440129411764706,3.3000000000000016,1.5994245,1.7816979,17,7
1-57,D1,0.9539970731707318,3.4000000000000017,1.5994245,1.7816979,17,7
1-57,D1,0.9854009375,3.5000000000000018,1.5994245,1.7816979,17,7
2-15,C,0.0,0.1,15.297798,3.1809123,14,3
2-15,C,0.0,0.2,15.297798,3.1809123,14,3
2-15,C,0.0005261168384879726,0.30000000000000004,15.297798,3.1809123,14,3
2-15,C,0.000619838056680162,0.4,15.297798,3.1809123,14,3
2-15,C,0.01020408163265306,0.5,15.297798,3.1809123,14,3
2-15,C,0.03048042168674699,0.6,15.297798,3.1809123,14,3
2-15,C,0.04200611510791367,0.7,15.297798,3.1809123,14,3
2-15,C,0.040986524822695033,0.7999999999999999,15.297798,3.1809123,14,3
2-15,C,0.03982300884955752,0.8999999999999999,15.297798,3.1809123,14,3
2-15,C,0.07348096774193548,0.9999999999999999,15.297798,3.1809123,14,3
2-15,C,0.1432530612244898,1.0999999999999999,15.297798,3.1809123,14,3
2-15,C,0.27483446280991736,1.2,15.297798,3.1809123,14,3
2-15,C,0.2982355133079848,1.3,15.297798,3.1809123,14,3
2-15,C,0.161107134502924,1.4000000000000001,15.297798,3.1809123,14,3
2-15,C,0.1135195394736842,1.5000000000000002,15.297798,3.1809123,14,3
2-15,C,0.13339435897435897,1.6000000000000003,15.297798,3.1809123,14,3
2-15,C,0.08609441176470589,1.7000000000000004,15.297798,3.1809123,14,3
2-15,C,0.05145804195804196,1.8000000000000005,15.297798,3.1809123,14,3
2-15,C,0.24338376623376623,1.9000000000000006,15.297798,3.1809123,14,3
2-15,C,0.6468556,2.0000000000000004,15.297798,3.1809123,14,3
2-15,C,0.865577149321267,2.1000000000000005,15.297798,3.1809123,14,3
2-15,C,0.9671052631578947,2.2000000000000006,15.297798,3.1809123,14,3
2-15,C,0.9939759036144579,2.3000000000000007,15.297798,3.1809123,14,3
