antibody,ab_group,mean_escape,time,umap_x,umap_y,kmeans_cluster,custom_cluster
2-15,C,1.0,2.400000000000001,15.297798,3.1809123,14,3
2-15,C,1.0,2.500000000000001,15.297798,3.1809123,14,3
2-15,C,0.9921875,2.600000000000001,15.297798,3.1809123,14,3
2-15,C,0.9932432432432432,2.700000000000001,15.297798,3.1809123,14,3
2-15,C,1.0,2.800000000000001,15.297798,3.1809123,14,3
2-15,C,0.9967965277777778,2.9000000000000012,15.297798,3.1809123,14,3
2-15,C,0.9971641393442623,3.0000000000000013,15.297798,3.1809123,14,3
2-15,C,1.0,3.1000000000000014,15.297798,3.1809123,14,3
2-15,C,1.0,3.2000000000000015,15.297798,3.1809123,14,3
2-15,C,1.0,3.3000000000000016,15.297798,3.1809123,14,3
2-15,C,1.0,3.4000000000000017,15.297798,3.1809123,14,3
2-15,C,1.0,3.5000000000000018,15.297798,3.1809123,14,3
7D6,C,0.0,0.1,15.156409,2.124447,14,3
7D6,C,0.0,0.2,15.156409,2.124447,14,3
7D6,C,0.0001874914089347079,0.30000000000000004,15.156409,2.124447,14,3
7D6,C,0.0002208906882591093,0.4,15.156409,2.124447,14,3
7D6,C,0.01020408163265306,0.5,15.156409,2.124447,14,3
7D6,C,0.030120481927710843,0.6,15.156409,2.124447,14,3
7D6,C,0.039526618705035974,0.7,15.156409,2.124447,14,3
7D6,C,0.03896595744680851,0.7999999999999999,15.156409,2.124447,14,3
7D6,C,0.03982300884955752,0.8999999999999999,15.156409,2.124447,14,3
7D6,C,0.07256193548387097,0.9999999999999999,15.156409,2.124447,14,3
7D6,C,0.1393768707482993,1.0999999999999999,15.156409,2.124447,14,3
7D6,C,0.2663611570247934,1.2,15.156409,2.124447,14,3
7D6,C,0.28687376425855515,1.3,15.156409,2.124447,14,3
7D6,C,0.1548690058479532,1.4000000000000001,15.156409,2.124447,14,3
7D6,C,0.10677434210526317,1.5000000000000002,15.156409,2.124447,14,3
7D6,C,0.12024512820512821,1.6000000000000003,15.156409,2.124447,14,3
7D6,C,0.07930941176470588,1.7000000000000004,15.156409,2.124447,14,3
7D6,C,0.04895104895104895,1.8000000000000005,15.156409,2.124447,14,3
7D6,C,0.24190844155844157,1.9000000000000006,15.156409,2.124447,14,3
7D6,C,0.6460312,2.0000000000000004,15.156409,2.124447,14,3
7D6,C,0.8654022624434389,2.1000000000000005,15.156409,2.124447,14,3
7D6,C,0.9671052631578947,2.2000000000000006,15.156409,2.124447,14,3
7D6,C,0.9939759036144579,2.3000000000000007,15.156409,2.124447,14,3
7D6,C,1.0,2.400000000000001,15.156409,2.124447,14,3
7D6,C,1.0,2.500000000000001,15.156409,2.124447,14,3
7D6,C,0.9921875,2.600000000000001,15.156409,2.124447,14,3
7D6,C,0.9932432432432432,2.700000000000001,15.156409,2.124447,14,3
7D6,C,1.0,2.800000000000001,15.156409,2.124447,14,3
7D6,C,0.9953703703703703,2.9000000000000012,15.156409,2.124447,14,3
7D6,C,0.9959016393442623,3.0000000000000013,15.156409,2.124447,14,3
7D6,C,1.0,3.1000000000000014,15.156409,2.124447,14,3
7D6,C,1.0,3.2000000000000015,15.156409,2.124447,14,3
7D6,C,1.0,3.3000000000000016,15.156409,2.124447,14,3
7D6,C,1.0,3.4000000000000017,15.156409,2.124447,14,3
7D6,C,1.0,3.5000000000000018,15.156409,2.124447,14,3
ADG-2,F3,0.0037027777777777775,0.1,6.934315,5.3103113,6,4
ADG-2,F3,0.0,0.2,6.934315,5.3103113,6,4
ADG-2,F3,0.0,0.30000000000000004,6.934315,5.3103113,6,4
ADG-2,F3,0.0,0.4,6.934315,5.3103113,6,4
ADG-2,F3,0.0013561224489795918,0.5,6.934315,5.3103113,6,4
ADG-2,F3,0.005311987951807228,0.6,6.934315,5.3103113,6,4
ADG-2,F3,0.006343812949640287,0.7,6.934315,5.3103113,6,4
ADG-2,F3,0.009141134751773049,0.7999999999999999,6.934315,5.3103113,6,4
ADG-2,F3,0.012348628318584071,0.8999999999999999,6.934315,5.3103113,6,4
ADG-2,F3,0.01673706451612903,0.9999999999999999,6.934315,5.3103113,6,4
ADG-2,F3,0.028110748299319727,1.0999999999999999,6.934315,5.3103113,6,4
ADG-2,F3,0.04833078512396694,1.2,6.934315,5.3103113,6,4
ADG-2,F3,0.05263049429657795,1.3,6.934315,5.3103113,6,4
ADG-2,F3,0.029897105263157895,1.4000000000000001,6.934315,5.3103113,6,4
ADG-2,F3,0.018928355263157896,1.5000000000000002,6.934315,5.3103113,6,4
ADG-2,F3,0.01892769230769231,1.6000000000000003,6.934315,5.3103113,6,4
ADG-2,F3,0.01499735294117647,1.7000000000000004,6.934315,5.3103113,6,4
ADG-2,F3,0.01573916083916084,1.8000000000000005,6.934315,5.3103113,6,4
ADG-2,F3,0.10994987012987012,1.9000000000000006,6.934315,5.3103113,6,4
ADG-2,F3,0.37062811999999995,2.0000000000000004,6.934315,5.3103113,6,4
ADG-2,F3,0.5476149773755656,2.1000000000000005,6.934315,5.3103113,6,4
ADG-2,F3,0.7854325657894737,2.2000000000000006,6.934315,5.3103113,6,4
ADG-2,F3,0.9397426506024096,2.3000000000000007,6.934315,5.3103113,6,4
ADG-2,F3,0.9788262195121952,2.400000000000001,6.934315,5.3103113,6,4
ADG-2,F3,0.9798479577464788,2.500000000000001,6.934315,5.3103113,6,4
ADG-2,F3,0.978371796875,2.600000000000001,6.934315,5.3103113,6,4
ADG-2,F3,0.9693458108108107,2.700000000000001,6.934315,5.3103113,6,4
ADG-2,F3,0.9793950000000001,2.800000000000001,6.934315,5.3103113,6,4
ADG-2,F3,0.9947348611111111,2.9000000000000012,6.934315,5.3103113,6,4
ADG-2,F3,0.9953390573770492,3.0000000000000013,6.934315,5.3103113,6,4
ADG-2,F3,0.9850948344370861,3.1000000000000014,6.934315,5.3103113,6,4
ADG-2,F3,0.9633302479338843,3.2000000000000015,6.934315,5.3103113,6,4
ADG-2,F3,0.9669477450980392,3.3000000000000016,6.934315,5.3103113,6,4
ADG-2,F3,0.9922148780487805,3.4000000000000017,6.934315,5.3103113,6,4
ADG-2,F3,1.0,3.5000000000000018,6.934315,5.3103113,6,4
B38,A,0.0,0.1,14.416063,2.153669,14,3
B38,A,0.0,0.2,14.416063,2.153669,14,3
B38,A,0.0007326460481099657,0.30000000000000004,14.416063,2.153669,14,3
B38,A,0.0023238866396761136,0.4,14.416063,2.153669,14,3
B38,A,0.0052785714285714285,0.5,14.416063,2.153669,14,3
B38,A,0.030256626506024096,0.6,14.416063,2.153669,14,3
B38,A,0.036133812949640284,0.7,14.416063,2.153669,14,3
B38,A,0.022554609929078016,0.7999999999999999,14.416063,2.153669,14,3
B38,A,0.036076991150442474,0.8999999999999999,14.416063,2.153669,14,3
B38,A,0.08514451612903226,0.9999999999999999,14.416063,2.153669,14,3
B38,A,0.17302551020408163,1.0999999999999999,14.416063,2.153669,14,3
B38,A,0.2912561983471074,1.2,14.416063,2.153669,14,3
B38,A,0.3161486692015209,1.3,14.416063,2.153669,14,3
B38,A,0.1834543859649123,1.4000000000000001,14.416063,2.153669,14,3
B38,A,0.10626282894736842,1.5000000000000002,14.416063,2.153669,14,3
B38,A,0.09041384615384616,1.6000000000000003,14.416063,2.153669,14,3
B38,A,0.07454411764705882,1.7000000000000004,14.416063,2.153669,14,3
B38,A,0.07058531468531469,1.8000000000000005,14.416063,2.153669,14,3
B38,A,0.2523350649350649,1.9000000000000006,14.416063,2.153669,14,3
B38,A,0.6593592,2.0000000000000004,14.416063,2.153669,14,3
B38,A,0.8750542986425339,2.1000000000000005,14.416063,2.153669,14,3
B38,A,0.965920394736842,2.2000000000000006,14.416063,2.153669,14,3
B38,A,0.9939759036144579,2.3000000000000007,14.416063,2.153669,14,3
B38,A,1.0,2.400000000000001,14.416063,2.153669,14,3
B38,A,1.0,2.500000000000001,14.416063,2.153669,14,3
B38,A,0.98926171875,2.600000000000001,14.416063,2.153669,14,3
B38,A,0.9896195945945945,2.700000000000001,14.416063,2.153669,14,3
B38,A,0.9988605633802817,2.800000000000001,14.416063,2.153669,14,3
B38,A,1.0,2.9000000000000012,14.416063,2.153669,14,3
B38,A,1.0,3.0000000000000013,14.416063,2.153669,14,3
B38,A,1.0,3.1000000000000014,14.416063,2.153669,14,3
B38,A,1.0,3.2000000000000015,14.416063,2.153669,14,3
B38,A,1.0,3.3000000000000016,14.416063,2.153669,14,3
B38,A,1.0,3.4000000000000017,14.416063,2.153669,14,3
B38,A,1.0,3.5000000000000018,14.416063,2.153669,14,3
BD-196,C,0.0,0.1,8.327086,-0.79624677,15,6
BD-196,C,0.0,0.2,8.327086,-0.79624677,15,6
BD-196,C,0.00037079037800687284,0.30000000000000004,8.327086,-0.79624677,15,6
BD-196,C,0.0004368421052631579,0.4,8.327086,-0.79624677,15,6
BD-196,C,0.008426530612244897,0.5,8.327086,-0.79624677,15,6
BD-196,C,0.02487349397590361,0.6,8.327086,-0.79624677,15,6
BD-196,C,0.03689928057553957,0.7,8.327086,-0.79624677,15,6
BD-196,C,0.03761347517730496,0.7999999999999999,8.327086,-0.79624677,15,6
BD-196,C,0.03674646017699115,0.8999999999999999,8.327086,-0.79624677,15,6
BD-196,C,0.06745999999999999,0.9999999999999999,8.327086,-0.79624677,15,6
BD-196,C,0.13145884353741497,1.0999999999999999,8.327086,-0.79624677,15,6
BD-196,C,0.25582107438016527,1.2,8.327086,-0.79624677,15,6
BD-196,C,0.30093916349809885,1.3,8.327086,-0.79624677,15,6
BD-196,C,0.23828070175438593,1.4000000000000001,8.327086,-0.79624677,15,6
BD-196,C,0.2372703947368421,1.5000000000000002,8.327086,-0.79624677,15,6
BD-196,C,0.26979435897435894,1.6000000000000003,8.327086,-0.79624677,15,6
BD-196,C,0.2360629411764706,1.7000000000000004,8.327086,-0.79624677,15,6
BD-196,C,0.2075958041958042,1.8000000000000005,8.327086,-0.79624677,15,6
BD-196,C,0.328712987012987,1.9000000000000006,8.327086,-0.79624677,15,6
BD-196,C,0.5932379999999999,2.0000000000000004,8.327086,-0.79624677,15,6
BD-196,C,0.7389647058823529,2.1000000000000005,8.327086,-0.79624677,15,6
BD-196,C,0.8066677631578948,2.2000000000000006,8.327086,-0.79624677,15,6
BD-196,C,0.8355186746987951,2.3000000000000007,8.327086,-0.79624677,15,6
BD-196,C,0.8795879268292683,2.400000000000001,8.327086,-0.79624677,15,6
BD-196,C,0.9418987323943662,2.500000000000001,8.327086,-0.79624677,15,6
BD-196,C,0.96224921875,2.600000000000001,8.327086,-0.79624677,15,6
BD-196,C,0.9520493243243243,2.700000000000001,8.327086,-0.79624677,15,6
BD-196,C,0.9791450704225352,2.800000000000001,8.327086,-0.79624677,15,6
BD-196,C,0.9953717592592594,2.9000000000000012,8.327086,-0.79624677,15,6
BD-196,C,0.9951889344262295,3.0000000000000013,8.327086,-0.79624677,15,6
BD-196,C,0.9988463576158939,3.1000000000000014,8.327086,-0.79624677,15,6
BD-196,C,1.0,3.2000000000000015,8.327086,-0.79624677,15,6
BD-196,C,1.0,3.3000000000000016,8.327086,-0.79624677,15,6
BD-196,C,1.0,3.4000000000000017,8.327086,-0.79624677,15,6
BD-196,C,1.0,3.5000000000000018,8.327086,-0.79624677,15,6
BD-218,A,0.0,0.1,-2.3339207,0.17925836,11,8
BD-218,A,0.0,0.2,-2.3339207,0.17925836,11,8
BD-218,A,0.0,0.30000000000000004,-2.3339207,0.17925836,11,8
BD-218,A,0.0006991902834008097,0.4,-2.3339207,0.17925836,11,8
BD-218,A,0.0008811224489795918,0.5,-2.3339207,0.17925836,11,8
BD-218,A,0.0010403614457831325,0.6,-2.3339207,0.17925836,11,8
BD-218,A,0.0012424460431654676,0.7,-2.3339207,0.17925836,11,8
BD-218,A,0.0,0.7999999999999999,-2.3339207,0.17925836,11,8
BD-218,A,0.0,0.8999999999999999,-2.3339207,0.17925836,11,8
BD-218,A,0.0,0.9999999999999999,-2.3339207,0.17925836,11,8
BD-218,A,0.0,1.0999999999999999,-2.3339207,0.17925836,11,8
BD-218,A,0.00397603305785124,1.2,-2.3339207,0.17925836,11,8
BD-218,A,0.005487832699619772,1.3,-2.3339207,0.17925836,11,8
BD-218,A,0.005626900584795322,1.4000000000000001,-2.3339207,0.17925836,11,8
BD-218,A,0.006330263157894737,1.5000000000000002,-2.3339207,0.17925836,11,8
BD-218,A,0.007401538461538462,1.6000000000000003,-2.3339207,0.17925836,11,8
BD-218,A,0.008490000000000001,1.7000000000000004,-2.3339207,0.17925836,11,8
BD-218,A,0.0033643356643356646,1.8000000000000005,-2.3339207,0.17925836,11,8
BD-218,A,0.043736363636363636,1.9000000000000006,-2.3339207,0.17925836,11,8
BD-218,A,0.1327836,2.0000000000000004,-2.3339207,0.17925836,11,8
BD-218,A,0.17633076923076926,2.1000000000000005,-2.3339207,0.17925836,11,8
BD-218,A,0.11077960526315789,2.2000000000000006,-2.3339207,0.17925836,11,8
BD-218,A,0.028981927710843375,2.3000000000000007,-2.3339207,0.17925836,11,8
BD-218,A,0.0345,2.400000000000001,-2.3339207,0.17925836,11,8
BD-218,A,0.050009154929577464,2.500000000000001,-2.3339207,0.17925836,11,8
BD-218,A,0.045103125,2.600000000000001,-2.3339207,0.17925836,11,8
BD-218,A,0.1592831081081081,2.700000000000001,-2.3339207,0.17925836,11,8
BD-218,A,0.2507140845070423,2.800000000000001,-2.3339207,0.17925836,11,8
BD-218,A,0.33409722222222227,2.9000000000000012,-2.3339207,0.17925836,11,8
BD-218,A,0.3787254098360656,3.0000000000000013,-2.3339207,0.17925836,11,8
BD-218,A,0.4176284768211921,3.1000000000000014,-2.3339207,0.17925836,11,8
BD-218,A,0.45084793388429756,3.2000000000000015,-2.3339207,0.17925836,11,8
BD-218,A,0.47644411764705885,3.3000000000000016,-2.3339207,0.17925836,11,8
BD-218,A,0.5010560975609757,3.4000000000000017,-2.3339207,0.17925836,11,8
BD-218,A,0.535609375,3.5000000000000018,-2.3339207,0.17925836,11,8
BD-236,A,0.0,0.1,14.148557,1.9884343,14,3
BD-236,A,0.0,0.2,14.148557,1.9884343,14,3
BD-236,A,0.0,0.30000000000000004,14.148557,1.9884343,14,3
BD-236,A,0.0,0.4,14.148557,1.9884343,14,3
BD-236,A,0.0,0.5,14.148557,1.9884343,14,3
BD-236,A,0.009196385542168674,0.6,14.148557,1.9884343,14,3
BD-236,A,0.01098273381294964,0.7,14.148557,1.9884343,14,3
BD-236,A,0.014184397163120567,0.7999999999999999,14.148557,1.9884343,14,3
BD-236,A,0.025774778761061948,0.8999999999999999,14.148557,1.9884343,14,3
BD-236,A,0.07699967741935484,0.9999999999999999,14.148557,1.9884343,14,3
BD-236,A,0.16755204081632655,1.0999999999999999,14.148557,1.9884343,14,3
BD-236,A,0.2731549586776859,1.2,14.148557,1.9884343,14,3
BD-236,A,0.30020988593155895,1.3,14.148557,1.9884343,14,3
BD-236,A,0.1792014619883041,1.4000000000000001,14.148557,1.9884343,14,3
BD-236,A,0.10138453947368421,1.5000000000000002,14.148557,1.9884343,14,3
BD-236,A,0.08161589743589744,1.6000000000000003,14.148557,1.9884343,14,3
BD-236,A,0.06032705882352941,1.7000000000000004,14.148557,1.9884343,14,3
BD-236,A,0.060334265734265737,1.8000000000000005,14.148557,1.9884343,14,3
BD-236,A,0.2508298701298701,1.9000000000000006,14.148557,1.9884343,14,3
BD-236,A,0.65236,2.0000000000000004,14.148557,1.9884343,14,3
BD-236,A,0.8646606334841629,2.1000000000000005,14.148557,1.9884343,14,3
BD-236,A,0.9264809210526316,2.2000000000000006,14.148557,1.9884343,14,3
BD-236,A,0.944378313253012,2.3000000000000007,14.148557,1.9884343,14,3
BD-236,A,0.9832658536585365,2.400000000000001,14.148557,1.9884343,14,3
BD-236,A,0.9951683098591548,2.500000000000001,14.148557,1.9884343,14,3
BD-236,A,0.9678390625,2.600000000000001,14.148557,1.9884343,14,3
BD-236,A,0.972185135135135,2.700000000000001,14.148557,1.9884343,14,3
BD-236,A,0.9951683098591548,2.800000000000001,14.148557,1.9884343,14,3
BD-236,A,0.9987291666666667,2.9000000000000012,14.148557,1.9884343,14,3
BD-236,A,0.997142213114754,3.0000000000000013,14.148557,1.9884343,14,3
BD-236,A,0.993564238410596,3.1000000000000014,14.148557,1.9884343,14,3
BD-236,A,0.9931942148760331,3.2000000000000015,14.148557,1.9884343,14,3
BD-236,A,0.9919264705882354,3.3000000000000016,14.148557,1.9884343,14,3
BD-236,A,0.9933048780487804,3.4000000000000017,14.148557,1.9884343,14,3
BD-236,A,0.9957109375,3.5000000000000018,14.148557,1.9884343,14,3
BD-254,C,0.0,0.1,14.196259,1.5775012,14,3
BD-254,C,0.0,0.2,14.196259,1.5775012,14,3
BD-254,C,0.0032257731958762886,0.30000000000000004,14.196259,1.5775012,14,3
BD-254,C,0.003800404858299595,0.4,14.196259,1.5775012,14,3
BD-254,C,0.01020408163265306,0.5,14.196259,1.5775012,14,3
BD-254,C,0.030120481927710843,0.6,14.196259,1.5775012,14,3
BD-254,C,0.03682230215827338,0.7,14.196259,1.5775012,14,3
BD-254,C,0.0370113475177305,0.7999999999999999,14.196259,1.5775012,14,3
BD-254,C,0.040266814159292036,0.8999999999999999,14.196259,1.5775012,14,3
BD-254,C,0.07364967741935484,0.9999999999999999,14.196259,1.5775012,14,3
BD-254,C,0.13668809523809525,1.0999999999999999,14.196259,1.5775012,14,3
BD-254,C,0.2554880165289256,1.2,14.196259,1.5775012,14,3
BD-254,C,0.27443079847908747,1.3,14.196259,1.5775012,14,3
BD-254,C,0.14859766081871345,1.4000000000000001,14.196259,1.5775012,14,3
BD-254,C,0.10046447368421052,1.5000000000000002,14.196259,1.5775012,14,3
BD-254,C,0.11020974358974359,1.6000000000000003,14.196259,1.5775012,14,3
BD-254,C,0.07687058823529412,1.7000000000000004,14.196259,1.5775012,14,3
BD-254,C,0.04895104895104895,1.8000000000000005,14.196259,1.5775012,14,3
BD-254,C,0.24097792207792207,1.9000000000000006,14.196259,1.5775012,14,3
BD-254,C,0.6444424,2.0000000000000004,14.196259,1.5775012,14,3
BD-254,C,0.8642533936651584,2.1000000000000005,14.196259,1.5775012,14,3
BD-254,C,0.9671052631578947,2.2000000000000006,14.196259,1.5775012,14,3
BD-254,C,0.9939759036144579,2.3000000000000007,14.196259,1.5775012,14,3
BD-254,C,1.0,2.400000000000001,14.196259,1.5775012,14,3
BD-254,C,1.0,2.500000000000001,14.196259,1.5775012,14,3
BD-254,C,0.9921875,2.600000000000001,14.196259,1.5775012,14,3
BD-254,C,0.9932432432432432,2.700000000000001,14.196259,1.5775012,14,3
BD-254,C,1.0,2.800000000000001,14.196259,1.5775012,14,3
BD-254,C,0.9958824074074074,2.9000000000000012,14.196259,1.5775012,14,3
BD-254,C,0.9963549180327869,3.0000000000000013,14.196259,1.5775012,14,3
BD-254,C,1.0,3.1000000000000014,14.196259,1.5775012,14,3
BD-254,C,1.0,3.2000000000000015,14.196259,1.5775012,14,3
BD-254,C,1.0,3.3000000000000016,14.196259,1.5775012,14,3
BD-254,C,1.0,3.4000000000000017,14.196259,1.5775012,14,3
BD-254,C,1.0,3.5000000000000018,14.196259,1.5775012,14,3
BD-255,B,0.0,0.1,-0.8768524,4.0494943,7,5
BD-255,B,0.00020898876404494383,0.2,-0.8768524,4.0494943,7,5
BD-255,B,0.00019175257731958765,0.30000000000000004,-0.8768524,4.0494943,7,5
BD-255,B,0.0,0.4,-0.8768524,4.0494943,7,5
BD-255,B,0.00028469387755102044,0.5,-0.8768524,4.0494943,7,5
BD-255,B,0.00362433734939759,0.6,-0.8768524,4.0494943,7,5
BD-255,B,0.00593410071942446,0.7,-0.8768524,4.0494943,7,5
BD-255,B,0.006358156028368794,0.7999999999999999,-0.8768524,4.0494943,7,5
BD-255,B,0.005093805309734513,0.8999999999999999,-0.8768524,4.0494943,7,5
BD-255,B,0.005626451612903226,0.9999999999999999,-0.8768524,4.0494943,7,5
BD-255,B,0.0051734693877551014,1.0999999999999999,-0.8768524,4.0494943,7,5
BD-255,B,0.0015136363636363637,1.2,-0.8768524,4.0494943,7,5
BD-255,B,0.0004243346007604563,1.3,-0.8768524,4.0494943,7,5
BD-255,B,0.0004894736842105263,1.4000000000000001,-0.8768524,4.0494943,7,5
BD-255,B,0.00036710526315789473,1.5000000000000002,-0.8768524,4.0494943,7,5
BD-255,B,0.0,1.6000000000000003,-0.8768524,4.0494943,7,5
BD-255,B,0.0006564705882352942,1.7000000000000004,-0.8768524,4.0494943,7,5
BD-255,B,0.0019510489510489513,1.8000000000000005,-0.8768524,4.0494943,7,5
BD-255,B,0.01376883116883117,1.9000000000000006,-0.8768524,4.0494943,7,5
BD-255,B,0.0361584,2.0000000000000004,-0.8768524,4.0494943,7,5
BD-255,B,0.050009502262443446,2.1000000000000005,-0.8768524,4.0494943,7,5
BD-255,B,0.059519736842105264,2.2000000000000006,-0.8768524,4.0494943,7,5
BD-255,B,0.077155421686747,2.3000000000000007,-0.8768524,4.0494943,7,5
BD-255,B,0.14153756097560977,2.400000000000001,-0.8768524,4.0494943,7,5
BD-255,B,0.30759950704225353,2.500000000000001,-0.8768524,4.0494943,7,5
BD-255,B,0.440736796875,2.600000000000001,-0.8768524,4.0494943,7,5
BD-255,B,0.46285304054054055,2.700000000000001,-0.8768524,4.0494943,7,5
BD-255,B,0.5149914084507042,2.800000000000001,-0.8768524,4.0494943,7,5
BD-255,B,0.5114450462962963,2.9000000000000012,-0.8768524,4.0494943,7,5
BD-255,B,0.519368606557377,3.0000000000000013,-0.8768524,4.0494943,7,5
BD-255,B,0.5532919205298014,3.1000000000000014,-0.8768524,4.0494943,7,5
BD-255,B,0.5710081818181819,3.2000000000000015,-0.8768524,4.0494943,7,5
BD-255,B,0.584473431372549,3.3000000000000016,-0.8768524,4.0494943,7,5
BD-255,B,0.5950829268292683,3.4000000000000017,-0.8768524,4.0494943,7,5
BD-255,B,0.596054375,3.5000000000000018,-0.8768524,4.0494943,7,5
BD-319,B,0.0,0.1,5.353917,-0.7419202,13,6
BD-319,B,0.0,0.2,5.353917,-0.7419202,13,6
BD-319,B,0.0016993127147766323,0.30000000000000004,5.353917,-0.7419202,13,6
BD-319,B,0.0020020242914979757,0.4,5.353917,-0.7419202,13,6
BD-319,B,0.0014673469387755103,0.5,5.353917,-0.7419202,13,6
BD-319,B,0.004331325301204819,0.6,5.353917,-0.7419202,13,6
BD-319,B,0.005172661870503597,0.7,5.353917,-0.7419202,13,6
BD-319,B,0.012191489361702128,0.7999999999999999,5.353917,-0.7419202,13,6
BD-319,B,0.011625221238938055,0.8999999999999999,5.353917,-0.7419202,13,6
BD-319,B,0.014503225806451614,0.9999999999999999,5.353917,-0.7419202,13,6
BD-319,B,0.028139455782312923,1.0999999999999999,5.353917,-0.7419202,13,6
BD-319,B,0.05701685950413223,1.2,5.353917,-0.7419202,13,6
BD-319,B,0.10986,1.3,5.353917,-0.7419202,13,6
BD-319,B,0.21103590643274853,1.4000000000000001,5.353917,-0.7419202,13,6
BD-319,B,0.27240651315789477,1.5000000000000002,5.353917,-0.7419202,13,6
BD-319,B,0.2890323076923077,1.6000000000000003,5.353917,-0.7419202,13,6
BD-319,B,0.31973764705882357,1.7000000000000004,5.353917,-0.7419202,13,6
