,Cluster,Antibody
0,0,1-57
1,0,BD-467
2,0,BD-500
3,0,BD-507
4,0,BD-612
5,0,BD-667
6,0,BD-758
7,0,BD-812
8,0,BD-817
9,0,BD-821
10,0,BD-824
11,0,BD-907
12,0,BD-918
13,0,BD55-1036
14,0,BD55-1039
15,0,BD55-1084
16,0,BD55-1104
17,0,BD55-1109
18,0,BD55-1233
19,0,BD55-1294
20,0,BD55-1339
21,0,BD55-1432
22,0,BD55-1575
23,0,BD55-2532
24,0,BD55-3152
25,0,BD55-3337
26,0,BD55-3433
27,0,BD55-3440
28,0,BD55-3485
29,0,BD55-387
30,0,BD55-44
31,0,BD55-4495
32,0,BD55-4664
33,0,BD55-5303
34,0,BD55-5319
35,0,BD55-5382
36,0,BD55-5449
37,0,BD55-5473
38,0,BD55-5484
39,0,BD55-5549
40,0,BD55-5585
41,0,BD55-5591
42,0,BD55-5697
43,0,BD55-5779
44,0,BD55-880
45,0,BD55-935
46,0,BD55-947
47,0,BD56-016
48,0,BD56-028
49,0,BD56-040
50,0,BD56-054
51,0,BD56-071
52,0,BD56-1228
53,0,BD56-1252
54,0,BD56-1254
55,0,BD56-1256
56,0,BD56-1286
57,0,BD56-1290
58,0,BD56-1295
59,0,BD56-1305
60,0,BD56-1322
61,0,BD56-1422
62,0,BD56-1447
63,0,BD56-1450
64,0,BD56-1453
65,0,BD56-1457
66,0,BD56-1470
67,0,BD56-1474
68,0,BD56-1479
69,0,BD56-1517
70,0,BD56-1612
71,0,BD56-1616
72,0,BD56-1689
73,0,BD56-1691
74,0,BD56-1693
75,0,BD56-1701
76,0,BD56-1711
77,0,BD56-1714
78,0,BD56-1716
79,0,BD56-1727
80,0,BD56-1730
81,0,BD56-1740
82,0,BD56-1742
83,0,BD56-1760
84,0,BD56-1762
85,0,BD56-1769
86,0,BD56-1781
87,0,BD56-1782
88,0,BD56-1790
89,0,BD56-1797
90,0,BD56-1798
91,0,BD56-181
92,0,BD56-1814
93,0,BD56-1821
94,0,BD56-1825
95,0,BD56-1827
96,0,BD56-1842
97,0,BD56-1852
98,0,BD56-1857
99,0,BD56-1866
100,0,BD56-1885
101,0,BD56-1891
102,0,BD56-1894
103,0,BD56-1909
104,0,BD56-1910
105,0,BD56-1911
106,0,BD56-1923
107,0,BD56-327
108,0,BD56-410
