,Cluster,Antibody
109,0,BD56-419
110,0,BD56-454
111,0,BD56-458
112,0,BD56-476
113,0,BD56-490
114,0,BD56-495
115,0,BD56-500
116,0,BD56-509
117,0,BD56-520
118,0,BD56-524
119,0,BD56-525
120,0,BD56-531
121,0,BD56-535
122,0,BD56-537
123,0,BD56-538
124,0,BD56-554
125,0,BD56-581
126,0,BD56-587
127,0,BD56-592
128,0,BD56-595
129,0,BD56-615
130,0,BD56-623
131,0,BD56-646
132,0,BD56-647
133,0,BD56-660
134,0,BD56-682
135,0,BD56-719
136,0,BD56-729
137,0,BD56-739
138,0,BD56-900
139,0,BD56-937
140,0,BD56-963
141,0,BD57-001
142,0,BD57-002
143,0,BD57-023
144,0,BD57-024
145,0,BD57-028
146,0,BD57-039
147,0,BD57-045
148,0,BD57-058
149,0,BD57-059
150,0,BD57-061
151,0,BD57-073
152,0,BD57-082
153,0,BD58-0588
154,0,C119
155,0,C556
156,0,COV2-2103
157,0,COV2-2113
158,0,COV2-2268
159,0,COV2-2389
160,0,COV2-2391
161,0,COV2-2760
162,0,COV2-2819
163,0,DH1063
164,0,XG2v-052
165,0,XG2v-070
166,0,XGv-016
167,0,XGv-047
168,0,XGv-074
169,0,XGv-107
170,0,XGv-174
171,0,XGv-175
172,0,XGv-227
173,0,XGv-263
174,0,XGv-264
175,0,XGv-265
176,0,XGv-266
177,0,XGv-282
178,0,XGv-284
179,0,XGv-285
180,0,XGv-286
181,0,XGv-287
182,0,XGv-288
183,0,XGv-289
184,0,XGv-290
185,0,XGv-291
186,0,XGv-292
187,0,XGv-293
188,0,XGv-294
189,0,XGv-295
190,0,XGv-296
191,0,XGv-297
192,0,XGv-345
193,0,XGv-420
194,1,ADG-2
195,1,BD-494
196,1,BD-605
197,1,BD-614
198,1,BD-715
199,1,BD-826
200,1,BD-899
201,1,BD55-1091
202,1,BD55-1096
203,1,BD55-1136
204,1,BD55-1225
205,1,BD55-1232
206,1,BD55-1237
207,1,BD55-1239
208,1,BD55-1323
209,1,BD55-1343
210,1,BD55-1411
211,1,BD55-1456
212,1,BD55-1507
213,1,BD55-1723
214,1,BD55-199
215,1,BD55-3149
216,1,BD55-3304
217,1,BD55-3500
218,1,BD55-4345
219,1,BD55-4483
220,1,BD55-5164
221,1,BD55-5166
222,1,BD55-5167
223,1,BD55-5189
224,1,BD55-5200
225,1,BD55-5212
226,1,BD55-5223
227,1,BD55-5228
228,1,BD55-5238
229,1,BD55-5239
230,1,BD55-5242
231,1,BD55-5245
232,1,BD55-5264
233,1,BD55-5265
234,1,BD55-5267
235,1,BD55-5276
236,1,BD55-5301
237,1,BD55-5305
238,1,BD55-5323
239,1,BD55-5327
240,1,BD55-5339
241,1,BD55-5380
242,1,BD55-5384
243,1,BD55-5386
244,1,BD55-5397
245,1,BD55-5427
246,1,BD55-5432
247,1,BD55-5474
248,1,BD55-5477
249,1,BD55-5501
250,1,BD55-5516
251,1,BD55-5521
252,1,BD55-5537
253,1,BD55-5564
254,1,BD55-5594
255,1,BD55-5612
256,1,BD55-5615
257,1,BD55-5620
258,1,BD55-5638
259,1,BD55-5640
260,1,BD55-5643
261,1,BD55-5644
262,1,BD55-5662
263,1,BD55-5675
264,1,BD55-5690
265,1,BD55-5699
266,1,BD55-5700
267,1,BD55-5713
268,1,BD55-5715
269,1,BD55-5736
270,1,BD55-5737
271,1,BD55-5761
272,1,BD55-5775
273,1,BD55-5811
274,1,BD55-5874
275,1,BD55-5878
276,1,BD55-5882
277,1,BD55-5919
278,1,BD55-5935
279,1,BD55-5955
280,1,BD55-5959
281,1,BD55-6014
282,1,BD55-6015
283,1,BD55-6019
284,1,BD55-6025
285,1,BD55-6033
286,1,BD55-6051
287,1,BD55-6063
288,1,BD55-6064
289,1,BD55-6066
290,1,BD55-6068
291,1,BD55-6069
292,1,BD55-6080
293,1,BD55-6086
294,1,BD55-6087
295,1,BD55-6088
296,1,BD55-6105
297,1,BD55-6106
298,1,BD55-6112
299,1,BD55-6197
300,1,BD55-6231
301,1,BD55-6236
302,1,BD55-6243
303,1,BD55-6262
304,1,BD55-6263
305,1,BD55-6268
306,1,BD55-6272
307,1,BD55-6283
308,1,BD55-6297
309,1,BD55-6305
310,1,BD55-6306
311,1,BD55-6308
312,1,BD55-6339
313,1,BD55-6340
314,1,BD55-6347
315,1,BD55-6379
316,1,BD55-6383
317,1,BD55-6413
318,1,BD55-6447
319,1,BD55-6466
320,1,BD55-6486
321,1,BD55-6492
322,1,BD55-6507
323,1,BD55-6510
324,1,BD55-6520
325,1,BD55-6552
326,1,BD55-6564
327,1,BD55-6623
328,1,BD55-6638
329,1,BD55-6642
330,1,BD55-6644
331,1,BD55-6677
332,1,BD55-6687
333,1,BD55-6689
334,1,BD55-6697
335,1,BD55-6727
336,1,BD55-854
337,1,BD55-927
338,1,BD55-987
339,1,BD56-003
340,1,BD56-008
341,1,BD56-020
342,1,BD56-021
343,1,BD56-030
344,1,BD56-1301
345,1,BD56-1390
346,1,BD56-1452
347,1,BD56-1567
348,1,BD56-1780
349,1,BD56-1809
350,1,BD56-1823
351,1,BD56-1847
352,1,BD56-1856
353,1,BD56-1863
354,1,BD56-1877
355,1,BD56-1895
356,1,BD56-1924
357,1,BD56-1944
358,1,BD56-300
359,1,BD56-408
360,1,BD56-420
361,1,BD56-425
362,1,BD56-579
363,1,BD56-603
364,1,BD56-887
365,1,BD57-013
366,1,BD57-017
367,1,BD57-0323
368,1,BD57-043
369,1,BD57-047
370,1,BD58-0448
371,1,C093
372,1,C516
373,1,COV2-2015
374,1,COV2-2098
375,1,COV2-2514
376,1,CV30
377,1,CV38-142
378,1,DH1140
379,1,DH1210
380,1,LY-CoV481
381,1,WIBP-2B11
382,1,XG2v-039
383,1,XG2v-098
384,1,XGv-052
385,1,XGv-057
386,1,XGv-105
387,1,XGv-261
388,1,XGv-360
389,1,XGv-416
390,2,BD-218
391,2,BD-369
392,2,BD-380
393,2,BD-395
394,2,BD-418
395,2,BD-503
396,2,BD-515
397,2,BD-599
398,2,BD-613
399,2,BD-616
400,2,BD-628
401,2,BD-692
402,2,BD-725
403,2,BD-744
404,2,BD-796
405,2,BD-827
406,2,BD-846
407,2,BD-901
408,2,BD-904
409,2,BD-916
410,2,BD-923
411,2,BD55-1073
412,2,BD55-1075
413,2,BD55-1251
414,2,BD55-1268
415,2,BD55-1273
416,2,BD55-1312
417,2,BD55-1338
418,2,BD55-1346
419,2,BD55-1354
420,2,BD55-1381
421,2,BD55-1486
422,2,BD55-1503
423,2,BD55-1604
424,2,BD55-1706
425,2,BD55-1763
426,2,BD55-302
427,2,BD55-311
428,2,BD55-3414
429,2,BD55-3417
430,2,BD55-347
431,2,BD55-3721
432,2,BD55-3773
433,2,BD55-3832
434,2,BD55-4418
435,2,BD55-4804
436,2,BD55-5175
437,2,BD55-5226
438,2,BD55-5236
439,2,BD55-5248
440,2,BD55-5251
441,2,BD55-5259
442,2,BD55-5402
443,2,BD55-5413
444,2,BD55-5435
445,2,BD55-5459
446,2,BD55-5462
447,2,BD55-5467
448,2,BD55-547
449,2,BD55-5486
450,2,BD55-5517
451,2,BD55-5557
452,2,BD55-5565
453,2,BD55-5566
454,2,BD55-5625
455,2,BD55-5629
456,2,BD55-5694
457,2,BD55-5718
458,2,BD55-5731
459,2,BD55-5748
460,2,BD55-5752
461,2,BD55-5790
462,2,BD55-5815
463,2,BD55-5865
464,2,BD55-5880
465,2,BD55-5892
466,2,BD55-5895
467,2,BD55-5898
468,2,BD55-5923
469,2,BD55-593
470,2,BD55-6013
471,2,BD55-603
472,2,BD55-6030
473,2,BD55-6038
474,2,BD55-6039
475,2,BD55-6044
476,2,BD55-6050
477,2,BD55-6060
478,2,BD55-6074
479,2,BD55-6075
480,2,BD55-6158
481,2,BD55-6190
482,2,BD55-6223
483,2,BD55-6276
484,2,BD55-6279
485,2,BD55-6284
486,2,BD55-6286
487,2,BD55-6291
488,2,BD55-6301
489,2,BD55-6307
490,2,BD55-6314
491,2,BD55-6329
492,2,BD55-6336
493,2,BD55-6342
494,2,BD55-6355
495,2,BD55-6370
496,2,BD55-6372
497,2,BD55-6374
498,2,BD55-6389
499,2,BD55-6406
500,2,BD55-6408
501,2,BD55-6426
502,2,BD55-6432
503,2,BD55-6454
504,2,BD55-6460
505,2,BD55-6480
506,2,BD55-6482
507,2,BD55-6494
508,2,BD55-6543
509,2,BD55-6577
510,2,BD55-6586
511,2,BD55-6597
512,2,BD55-6614
513,2,BD55-6648
514,2,BD55-6668
515,2,BD55-6682
516,2,BD55-6684
517,2,BD55-6691
518,2,BD55-6709
519,2,BD55-6718
520,2,BD55-711
521,2,BD55-918
522,2,BD55-925
523,2,BD55-936
524,2,BD55-948
525,2,BD55-979
526,2,BD56-010
527,2,BD56-012
528,2,BD56-015
529,2,BD56-027
530,2,BD56-039
531,2,BD56-055
532,2,BD56-075
533,2,BD56-090
534,2,BD56-091
535,2,BD56-1064
536,2,BD56-114
537,2,BD56-118
538,2,BD56-1219
539,2,BD56-123
540,2,BD56-1234
541,2,BD56-1245
542,2,BD56-1248
543,2,BD56-1249
544,2,BD56-125
545,2,BD56-1266
546,2,BD56-1271
547,2,BD56-1285
548,2,BD56-1297
549,2,BD56-1307
550,2,BD56-1316
551,2,BD56-1326
552,2,BD56-1328
553,2,BD56-1333
554,2,BD56-136
555,2,BD56-137
556,2,BD56-1410
557,2,BD56-1414
558,2,BD56-1421
559,2,BD56-1431
560,2,BD56-1436
561,2,BD56-1456
562,2,BD56-1464
563,2,BD56-1471
564,2,BD56-1485
565,2,BD56-152
566,2,BD56-153
567,2,BD56-1537
568,2,BD56-1592
569,2,BD56-1637
570,2,BD56-1657
571,2,BD56-1668
572,2,BD56-1687
573,2,BD56-169
574,2,BD56-1692
575,2,BD56-1694
576,2,BD56-1709
577,2,BD56-1710
578,2,BD56-1719
579,2,BD56-1721
580,2,BD56-1735
581,2,BD56-1737
582,2,BD56-1761
583,2,BD56-177
584,2,BD56-1779
585,2,BD56-1785
586,2,BD56-1813
587,2,BD56-1828
588,2,BD56-1832
589,2,BD56-1834
590,2,BD56-1837
591,2,BD56-1844
592,2,BD56-1876
593,2,BD56-1898
594,2,BD56-1899
595,2,BD56-1929
596,2,BD56-1931
597,2,BD56-1935
598,2,BD56-204
599,2,BD56-210
600,2,BD56-211
601,2,BD56-216
602,2,BD56-222
603,2,BD56-232
604,2,BD56-263
605,2,BD56-411
606,2,BD56-427
607,2,BD56-430
608,2,BD56-436
609,2,BD56-438
610,2,BD56-439
611,2,BD56-445
612,2,BD56-446
613,2,BD56-466
614,2,BD56-468
615,2,BD56-482
616,2,BD56-502
617,2,BD56-516
618,2,BD56-518
619,2,BD56-534
620,2,BD56-539
621,2,BD56-545
622,2,BD56-565
623,2,BD56-571
624,2,BD56-574
625,2,BD56-577
626,2,BD56-585
627,2,BD56-596
628,2,BD56-597
629,2,BD56-612
630,2,BD56-621
631,2,BD56-624
632,2,BD56-626
633,2,BD56-632
634,2,BD56-633
635,2,BD56-634
636,2,BD56-638
637,2,BD56-640
638,2,BD56-642
639,2,BD56-649
640,2,BD56-654
641,2,BD56-664
642,2,BD56-678
643,2,BD56-681
644,2,BD56-683
645,2,BD56-685
646,2,BD56-702
647,2,BD56-713
648,2,BD56-731
649,2,BD56-915
650,2,BD56-916
651,2,BD56-944
652,2,BD56-953
653,2,BD56-955
654,2,BD56-959
655,2,BD56-964
656,2,BD56-973
657,2,BD56-976
658,2,BD57-004
659,2,BD57-008
660,2,BD57-009
661,2,BD57-0109
662,2,BD57-0121
663,2,BD57-0221
664,2,BD57-0368
665,2,BD57-068
666,2,BD57-080
667,2,BD57-087
668,2,BD57-098
669,2,BD57-099
670,2,BD58-0589
671,2,C085
672,2,C089
673,2,C213
674,2,C547
675,2,COV2-2308
676,2,COV2-2485
677,2,COV2-2628
678,2,COV2-2677
679,2,COV2-2841
680,2,COVOX-150
681,2,DH1045
682,2,DH1160
683,2,S2X35
684,2,S304
685,2,XG2v-006
686,2,XGv-013
687,2,XGv-017
688,2,XGv-056
689,2,XGv-208
690,2,XGv-233
691,2,XGv-236
692,2,XGv-250
693,2,XGv-300
694,2,XGv-346
695,2,XGv-405
696,3,BD-319
697,3,BD-421
698,3,BD-498
699,3,BD-864
700,3,BD55-1009
701,3,BD55-1442
702,3,BD55-5583
703,3,BD55-5721
704,3,BD55-6382
705,3,BD55-6531
706,3,BD55-829
707,3,BD55-853
708,3,BD55-859
709,3,BD56-014
710,3,BD56-022
711,3,BD56-031
712,3,BD56-077
713,3,BD56-085
714,3,BD56-1235
715,3,BD56-124
716,3,BD56-1251
717,3,BD56-1258
718,3,BD56-1268
719,3,BD56-1277
720,3,BD56-1303
721,3,BD56-1420
722,3,BD56-1466
723,3,BD56-1521
724,3,BD56-1546
725,3,BD56-1573
726,3,BD56-1648
727,3,BD56-1652
728,3,BD56-1661
729,3,BD56-1712
730,3,BD56-1744
731,3,BD56-1759
732,3,BD56-1764
733,3,BD56-1791
734,3,BD56-1793
735,3,BD56-1803
736,3,BD56-1811
737,3,BD56-1839
738,3,BD56-1859
739,3,BD56-1862
740,3,BD56-1873
741,3,BD56-1878
742,3,BD56-1879
743,3,BD56-1886
744,3,BD56-1905
745,3,BD56-1908
746,3,BD56-400
747,3,BD56-432
748,3,BD56-477
749,3,BD56-480
750,3,BD56-505
751,3,BD56-558
752,3,BD56-566
753,3,BD56-631
754,3,BD56-671
755,3,BD56-926
756,3,BD56-949
757,3,BD56-960
758,3,BD57-010
759,3,BD57-035
760,3,BD57-037
761,3,BD57-042
762,3,BD57-054
763,3,BD57-065
764,3,BD57-078
765,3,C034
766,3,C083
767,3,COV2-2064
768,3,COV2-2413
769,3,COV2-2539
770,3,COV2-2693
771,3,COVOX-75
772,3,DH1044
773,3,DH1151
774,3,TAU-2189
775,3,TAU-2230
776,3,XGv-011
777,3,XGv-191
778,3,XGv-251
779,3,XGv-324
780,3,XGv-343
781,3,XGv-412
782,4,2-15
783,4,7D6
784,4,B38
785,4,BD-196
786,4,BD-236
787,4,BD-254
788,4,BD-362
789,4,BD-368
790,4,BD-397
791,4,BD-403
792,4,BD-417
793,4,BD-449
794,4,BD-504
795,4,BD-536
796,4,BD-598
797,4,BD-618
798,4,BD-619
799,4,BD-629
800,4,BD-643
801,4,BD-693
802,4,BD-694
803,4,BD-732
804,4,BD-739
805,4,BD-751
806,4,BD-767
807,4,BD-790
808,4,BD-791
809,4,BD-813
810,4,BD-822
811,4,BD-835
812,4,BD-870
813,4,BD-897
814,4,BD-900
815,4,BD-906
816,4,BD55-1049
817,4,BD55-1051
818,4,BD55-1065
819,4,BD55-1078
820,4,BD55-1092
821,4,BD55-1132
822,4,BD55-1171
823,4,BD55-1223
824,4,BD55-1245
825,4,BD55-1249
826,4,BD55-1256
827,4,BD55-1274
828,4,BD55-1374
829,4,BD55-1450
830,4,BD55-1502
831,4,BD55-1558
832,4,BD55-1576
833,4,BD55-1579
834,4,BD55-1694
835,4,BD55-1789
836,4,BD55-1809
837,4,BD55-1970
838,4,BD55-300
839,4,BD55-3451
840,4,BD55-3457
841,4,BD55-3716
842,4,BD55-4281
843,4,BD55-4285
844,4,BD55-4325
845,4,BD55-4344
846,4,BD55-4348
847,4,BD55-4351
848,4,BD55-4892
849,4,BD55-5163
850,4,BD55-5195
851,4,BD55-5198
852,4,BD55-5333
853,4,BD55-5342
854,4,BD55-5396
855,4,BD55-5416
856,4,BD55-5448
857,4,BD55-5466
858,4,BD55-5468
859,4,BD55-5512
860,4,BD55-5542
861,4,BD55-5543
862,4,BD55-5593
863,4,BD55-5598
864,4,BD55-5599
865,4,BD55-5631
866,4,BD55-5634
867,4,BD55-5659
868,4,BD55-5676
869,4,BD55-5689
870,4,BD55-5693
871,4,BD55-5728
872,4,BD55-5747
873,4,BD55-5785
874,4,BD55-5831
875,4,BD55-5854
876,4,BD55-5856
877,4,BD55-5897
878,4,BD55-5901
879,4,BD55-5903
880,4,BD55-5908
881,4,BD55-5918
882,4,BD55-5925
883,4,BD55-5933
884,4,BD55-5940
885,4,BD55-5943
886,4,BD55-5945
887,4,BD55-5948
888,4,BD55-5950
889,4,BD55-5966
890,4,BD55-5974
891,4,BD55-600
892,4,BD55-6096
893,4,BD55-6099
894,4,BD55-6241
895,4,BD55-6251
896,4,BD55-6373
897,4,BD55-6386
898,4,BD55-6387
899,4,BD55-6393
900,4,BD55-6431
901,4,BD55-6455
902,4,BD55-6467
903,4,BD55-6468
904,4,BD55-6502
905,4,BD55-6526
906,4,BD55-6579
907,4,BD55-6619
908,4,BD55-6626
909,4,BD55-6667
910,4,BD55-6671
911,4,BD55-6714
912,4,BD55-75
913,4,BD55-81
914,4,BD55-833
915,4,BD55-837
916,4,BD55-847
917,4,BD55-856
918,4,BD55-870
919,4,BD55-871
920,4,BD55-879
921,4,BD55-892
922,4,BD55-903
923,4,BD55-905
924,4,BD55-906
925,4,BD55-910
926,4,BD55-913
927,4,BD55-931
928,4,BD55-944
929,4,BD55-965
930,4,BD55-97
931,4,BD56-059
932,4,BD56-1181
933,4,BD56-1243
934,4,BD56-1250
935,4,BD56-1257
936,4,BD56-1262
937,4,BD56-1265
938,4,BD56-1273
939,4,BD56-1309
940,4,BD56-1319
941,4,BD56-1327
942,4,BD56-1393
943,4,BD56-1403
944,4,BD56-1428
945,4,BD56-1451
946,4,BD56-1459
947,4,BD56-1463
948,4,BD56-1477
949,4,BD56-1481
950,4,BD56-1518
951,4,BD56-1552
952,4,BD56-1585
953,4,BD56-1618
954,4,BD56-1684
955,4,BD56-1754
956,4,BD56-1770
957,4,BD56-1802
958,4,BD56-1820
959,4,BD56-1838
960,4,BD56-1840
961,4,BD56-1850
962,4,BD56-1853
963,4,BD56-1860
964,4,BD56-1869
965,4,BD56-1880
966,4,BD56-1883
967,4,BD56-1887
968,4,BD56-1900
969,4,BD56-1903
970,4,BD56-1907
971,4,BD56-1915
972,4,BD56-1916
973,4,BD56-1921
974,4,BD56-1925
975,4,BD56-1928
976,4,BD56-1930
977,4,BD56-1934
978,4,BD56-1937
979,4,BD56-1945
980,4,BD56-1949
981,4,BD56-233
982,4,BD56-234
983,4,BD56-412
984,4,BD56-413
985,4,BD56-423
986,4,BD56-433
987,4,BD56-437
988,4,BD56-475
989,4,BD56-493
990,4,BD56-619
991,4,BD56-917
992,4,BD56-961
993,4,BD56-969
994,4,BD57-003
995,4,BD57-005
996,4,BD57-006
997,4,BD57-018
998,4,BD57-025
999,4,BD57-0287
1000,4,BD57-029
1001,4,BD58-0573
1002,4,BG1-24
1003,4,BG10-19
1004,4,BG7-20
1005,4,C002
1006,4,C058
1007,4,C102
1008,4,C105
1009,4,C121
1010,4,C144
1011,4,C1A-B12
1012,4,C1A-B3
1013,4,C1A-C2
1014,4,C1A-F10
1015,4,C591
1016,4,CC12.1
1017,4,CC12.3
1018,4,CM32
1019,4,COV2-2479
1020,4,COV2-2499
1021,4,COV2-2504
1022,4,COV2-2589
1023,4,COV2-2678
1024,4,COV2-2807
1025,4,COV2-2919
1026,4,COVA2-04
1027,4,COVA2-39
1028,4,COVOX-269
1029,4,COVOX-316
1030,4,COVOX-384
1031,4,COVOX-40
1032,4,COVOX-88
1033,4,CV05-163
1034,4,CV07-200
1035,4,CV07-222
1036,4,CV07-255
1037,4,CV07-262
1038,4,CV07-283
1039,4,CV07-315
1040,4,DH1041
1041,4,DH1042
1042,4,DH1043
1043,4,DH1047
1044,4,DH1082
1045,4,DH1111
1046,4,DH1128
1047,4,DH1129
1048,4,DH1130
1049,4,DH1143
1050,4,DH1154
1051,4,DH1159-2
1052,4,DH1173
1053,4,DH1179
1054,4,DH1180
1055,4,DH1183
1056,4,DH1184
1057,4,DH1186
1058,4,DH1196
1059,4,DH1214
1060,4,DXP-593
1061,4,Ehling_mAb-64
1062,4,H4
1063,4,LY-CoV016
1064,4,LY-CoV488
1065,4,LY-CoV555
1066,4,P2B-1A10
1067,4,P2C-1A3
1068,4,P4A1
1069,4,P5A-2G9
1070,4,P5A-3A1
1071,4,S2H13
1072,4,S2H14
1073,4,S2M11
1074,4,XG-017
1075,4,XG2v-045
1076,4,XGv-003
1077,4,XGv-032
1078,4,XGv-040
1079,4,XGv-055
1080,4,XGv-094
1081,4,XGv-097
1082,4,XGv-116
1083,4,XGv-152
1084,4,XGv-155
1085,4,XGv-225
1086,4,XGv-232
1087,4,XGv-337
1088,4,XGv-387
1089,4,XGv-421
1090,5,BD-566
1091,5,BD-623
1092,5,BD-771
1093,5,BD-805
1094,5,BD-807
1095,5,BD-833
1096,5,BD-836
1097,5,BD-837
1098,5,BD-898
1099,5,BD-922
1100,5,BD55-1180
1101,5,BD55-1263
1102,5,BD55-1334
1103,5,BD55-1421
1104,5,BD55-1508
1105,5,BD55-4662
1106,5,BD55-5183
1107,5,BD55-556
1108,5,BD55-5655
1109,5,BD55-5774
1110,5,BD55-5866
1111,5,BD55-5887
1112,5,BD55-5912
1113,5,BD55-5917
1114,5,BD55-5957
1115,5,BD55-6390
1116,5,BD55-6445
1117,5,BD56-005
1118,5,BD56-049
1119,5,BD56-1287
1120,5,BD56-133
1121,5,BD56-1391
1122,5,BD56-1439
1123,5,BD56-1446
1124,5,BD56-1469
1125,5,BD56-147
1126,5,BD56-1520
1127,5,BD56-1609
1128,5,BD56-1631
1129,5,BD56-1662
1130,5,BD56-1679
1131,5,BD56-1717
1132,5,BD56-1775
1133,5,BD56-1776
1134,5,BD56-1787
1135,5,BD56-1815
1136,5,BD56-1829
1137,5,BD56-1833
1138,5,BD56-1861
1139,5,BD56-187
1140,5,BD56-1872
1141,5,BD56-1889
1142,5,BD56-1893
1143,5,BD56-1896
1144,5,BD56-1904
1145,5,BD56-265
1146,5,BD56-416
1147,5,BD56-418
1148,5,BD56-424
1149,5,BD56-426
1150,5,BD56-428
1151,5,BD56-431
1152,5,BD56-441
1153,5,BD56-447
1154,5,BD56-457
1155,5,BD56-470
1156,5,BD56-471
1157,5,BD56-472
1158,5,BD56-474
1159,5,BD56-479
1160,5,BD56-481
1161,5,BD56-483
1162,5,BD56-489
1163,5,BD56-499
1164,5,BD56-506
1165,5,BD56-508
1166,5,BD56-510
1167,5,BD56-519
1168,5,BD56-532
1169,5,BD56-556
1170,5,BD56-564
1171,5,BD56-589
1172,5,BD56-593
1173,5,BD56-606
1174,5,BD56-657
1175,5,BD56-920
1176,5,BD56-965
1177,5,BD57-012
1178,5,BD57-022
1179,5,BD57-031
1180,5,BD57-038
1181,5,BD57-049
1182,5,BD57-062
1183,5,BD57-079
1184,5,C597
1185,5,COV2-2072
1186,5,COV2-2381
1187,5,COV2-2684
1188,5,COV2-2941
1189,5,COV2-3025
1190,5,COVOX-253H165L
1191,5,COVOX-253H55L
1192,5,CV-X2-106
1193,5,CV07-209
1194,5,CV07-250
1195,5,CV07-287
1196,5,DH1155
1197,5,S2E12
1198,5,XG2v-095
1199,5,XGv-050
1200,5,XGv-279
1201,5,XGv-347
1202,5,XGv-409
1203,6,BD55-1957
1204,6,BD55-5836
1205,6,BD55-5946
1206,6,BD55-616
1207,6,BD55-977
1208,6,BD56-032
1209,6,BD56-068
1210,6,BD56-076
1211,6,BD56-078
1212,6,BD56-092
1213,6,BD56-099
1214,6,BD56-115
1215,6,BD56-1650
1216,6,BD56-1658
1217,6,BD56-1663
1218,6,BD56-1667
1219,6,BD56-1690
1220,6,BD56-1699
1221,6,BD56-1729
1222,6,BD56-1756
1223,6,BD56-1765
1224,6,BD56-1768
1225,6,BD56-1808
1226,6,BD56-1817
1227,6,BD56-1819
1228,6,BD56-1912
1229,6,BD56-443
1230,6,BD56-464
1231,6,BD56-507
1232,6,BD56-546
1233,6,BD56-608
1234,6,BD56-951
1235,6,BD56-974
1236,6,BD57-051
1237,6,BD57-069
1238,6,BD57-070
1239,6,BD57-085
1240,6,Ehling_mAb-82
1241,6,TAU-2220
1242,6,XGv-212
1243,7,BD-255
1244,7,BD-713
1245,7,BD-804
1246,7,BD-912
1247,7,BD-914
1248,7,BD-915
1249,7,BD55-1004
1250,7,BD55-1114
1251,7,BD55-1177
1252,7,BD55-1208
1253,7,BD55-1284
1254,7,BD55-1403
1255,7,BD55-1416
1256,7,BD55-1779
1257,7,BD55-2696
1258,7,BD55-3150
1259,7,BD55-3546
1260,7,BD55-4467
1261,7,BD55-5001
1262,7,BD55-5170
1263,7,BD55-5182
1264,7,BD55-5196
1265,7,BD55-5201
1266,7,BD55-5219
1267,7,BD55-5233
1268,7,BD55-5256
1269,7,BD55-5286
1270,7,BD55-5296
1271,7,BD55-5304
1272,7,BD55-5325
1273,7,BD55-5343
1274,7,BD55-5354
1275,7,BD55-5358
1276,7,BD55-5399
1277,7,BD55-5404
1278,7,BD55-5408
1279,7,BD55-5415
1280,7,BD55-5431
1281,7,BD55-5526
1282,7,BD55-5540
1283,7,BD55-5580
1284,7,BD55-5588
1285,7,BD55-5649
1286,7,BD55-5733
1287,7,BD55-5743
1288,7,BD55-5745
1289,7,BD55-5771
1290,7,BD55-5792
1291,7,BD55-5906
1292,7,BD55-5927
1293,7,BD55-5942
1294,7,BD55-6012
1295,7,BD55-6040
1296,7,BD55-6083
1297,7,BD55-6090
1298,7,BD55-6092
1299,7,BD55-6130
1300,7,BD55-6195
1301,7,BD55-6203
1302,7,BD55-6206
1303,7,BD55-6208
1304,7,BD55-6247
1305,7,BD55-6261
1306,7,BD55-6281
1307,7,BD55-6335
