Unnamed: 0,UMAP Dimension 1,UMAP Dimension 2,antibody,Cluster
113,9.769047,7.3450027,BD55-1109,2
114,6.7916613,4.155605,BD55-1114,5
115,-3.9001255,7.428749,BD55-1132,4
116,-1.7979277,1.5712191,BD55-1136,1
117,-6.727025,4.9430346,BD55-1171,7
118,4.0854673,3.7738893,BD55-1177,5
119,9.031504,-3.0509646,BD55-1180,3
120,3.5306747,11.320495,BD55-1192,9
121,7.6283956,8.465925,BD55-1208,2
122,-7.315682,7.595114,BD55-1223,8
123,-2.164091,1.3206204,BD55-1225,1
124,-2.9501388,2.5323591,BD55-1232,1
125,6.7056317,5.026182,BD55-1233,5
126,-3.921297,1.7746863,BD55-1237,1
127,3.2809658,1.2373465,BD55-1239,6
128,-3.0617132,3.2706258,BD55-1245,1
129,-7.1972795,2.8647985,BD55-1249,7
130,9.064742,12.05975,BD55-1251,0
131,-6.6241093,8.886671,BD55-1256,8
132,9.714786,-3.3510427,BD55-1263,3
133,13.581909,15.962614,BD55-1268,0
134,0.42477506,12.16405,BD55-1270,9
135,10.248006,13.245716,BD55-1273,0
136,-6.6434555,4.81487,BD55-1274,7
137,7.91488,8.13588,BD55-1284,2
138,7.4582725,6.945185,BD55-1294,2
139,8.585451,10.089521,BD55-1312,2
140,-2.8493905,2.6010563,BD55-1323,1
141,8.726284,-2.7961576,BD55-1334,3
142,8.135565,10.108216,BD55-1338,2
143,7.4016314,6.977854,BD55-1339,2
144,3.1852124,1.0864354,BD55-1343,6
145,0.51939917,10.927011,BD55-1345,9
146,7.814041,9.584851,BD55-1346,2
147,12.416531,14.424462,BD55-1354,0
148,-6.8729963,2.498112,BD55-1374,7
149,8.852822,8.788374,BD55-1381,2
150,5.4718075,3.705379,BD55-1403,5
151,-0.062221397,0.38490078,BD55-1411,6
152,8.373511,8.122288,BD55-1416,2
153,13.048819,-4.1712303,BD55-1421,3
154,6.005667,6.275406,BD55-1432,5
155,0.48912418,10.811178,BD55-1435,9
156,4.09479,7.829411,BD55-1442,5
157,-3.2347312,3.2044237,BD55-1450,1
158,-3.230984,1.4451269,BD55-1456,1
159,11.036882,12.217133,BD55-1486,0
160,-2.7616165,9.0145645,BD55-1502,4
161,11.18888,11.581788,BD55-1503,0
162,-2.9426198,2.5228455,BD55-1507,1
163,4.3554873,2.9608433,BD55-1508,5
164,-1.5187882,9.04095,BD55-1558,4
165,6.6851344,4.8864717,BD55-1575,5
166,-7.3084474,7.183636,BD55-1576,8
167,-5.6750994,8.81407,BD55-1579,8
168,9.003652,12.026458,BD55-1604,0
169,-2.3838203,8.262755,BD55-1694,4
170,9.033092,8.930153,BD55-1706,2
171,3.624991,2.954179,BD55-1723,5
172,13.6406765,16.024014,BD55-1763,0
173,4.449475,5.2613635,BD55-1779,5
174,-4.278201,2.0007737,BD55-1789,1
175,-7.320969,7.4938354,BD55-1809,8
176,3.580595,11.370205,BD55-1957,9
177,2.0886595,11.009254,BD55-1962,9
178,-6.6896505,2.7812629,BD55-1970,7
179,-2.9541543,2.451512,BD55-199,1
180,6.3081226,5.970676,BD55-2532,5
181,7.836061,9.119962,BD55-2696,2
182,-7.3066745,3.5848308,BD55-300,7
183,9.248759,8.933198,BD55-302,2
184,11.409852,13.385928,BD55-311,0
185,-2.7650468,1.5754259,BD55-3149,1
186,7.6730046,8.546445,BD55-3150,2
187,7.8187666,6.7280436,BD55-3152,2
188,1.8504429,0.4240007,BD55-3304,6
189,9.840971,7.4301333,BD55-3337,2
190,8.994311,11.855583,BD55-3414,0
191,12.666229,14.500857,BD55-3417,0
192,6.3633375,5.9859133,BD55-3433,5
193,5.5947328,5.650458,BD55-3440,5
194,-2.8752487,3.3520958,BD55-3451,1
195,-3.411486,3.064833,BD55-3457,1
196,9.57764,9.100783,BD55-347,2
197,4.5792494,4.9340796,BD55-3485,5
198,2.7479234,0.069694355,BD55-3500,6
199,7.5680304,8.542975,BD55-3546,2
200,-2.8573701,3.3733623,BD55-3716,1
201,10.398357,12.938685,BD55-3721,0
202,8.993134,12.087463,BD55-3773,0
203,10.765427,12.867722,BD55-3832,0
204,10.419768,8.5320835,BD55-387,2
205,-2.9286096,3.3462563,BD55-4281,1
206,-3.435116,3.0466454,BD55-4285,1
207,-3.450701,3.0209494,BD55-4325,1
208,-2.931328,3.329606,BD55-4344,1
209,0.73441523,0.22306862,BD55-4345,6
210,-2.929926,2.7628477,BD55-4348,1
211,-4.1160936,7.959876,BD55-4351,4
212,0.22771749,12.368725,BD55-4382,9
213,-0.035454847,10.021779,BD55-4397,9
214,8.52735,6.059899,BD55-44,2
215,8.799611,11.177482,BD55-4418,2
216,6.4738936,3.9222312,BD55-4467,5
217,0.79897237,0.2720948,BD55-4483,6
218,6.826689,6.3603997,BD55-4495,5
219,9.808636,-3.3866491,BD55-4662,3
220,6.4434786,6.6190643,BD55-4664,5
221,11.417567,13.948151,BD55-4804,0
222,-2.939401,2.9169383,BD55-4892,1
223,7.9783564,8.879262,BD55-5001,2
224,-3.6081073,2.8062856,BD55-5163,1
225,0.2843383,0.19100066,BD55-5164,6
226,-2.6458952,1.1913979,BD55-5166,1
227,0.9601477,0.2069817,BD55-5167,6
228,3.243572,1.4308565,BD55-5170,6
229,9.609824,12.746141,BD55-5175,0
230,0.3436006,10.292957,BD55-5176,9
231,6.7319455,5.09555,BD55-5182,5
232,12.617808,-4.103647,BD55-5183,3
233,-2.513955,0.994371,BD55-5189,1
234,-3.1942747,3.2138505,BD55-5195,1
235,5.339744,3.3477228,BD55-5196,5
236,-3.5857236,2.4654367,BD55-5198,1
237,-2.9966924,2.3280644,BD55-5200,1
238,3.7843957,2.3503382,BD55-5201,6
239,3.692181,2.845405,BD55-5212,5
240,6.8448386,4.579067,BD55-5219,5
241,0.98663795,0.21088754,BD55-5223,6
242,9.234788,12.150048,BD55-5226,0
243,-1.8459871,1.3556409,BD55-5228,1
244,5.10313,3.2067263,BD55-5233,5
245,8.175788,10.502889,BD55-5236,2
246,-2.5395546,1.0137414,BD55-5238,1
247,-0.7010196,0.37053847,BD55-5239,6
