study,antibody,virus,IC50
imprinted_2022,COV2-2828,D614G,1.52
imprinted_2022,EY6A,D614G,10.0
imprinted_2022,DH1041,D614G,0.0086
imprinted_2022,CV30,D614G,0.0053
imprinted_2022,CV07-270,D614G,0.0021
imprinted_2022,COVOX-75,D614G,0.027
imprinted_2022,COVOX-45,D614G,10.0
imprinted_2022,COVOX-384,D614G,0.0036
imprinted_2022,COVOX-316,D614G,0.001
imprinted_2022,COVOX-253H55L,D614G,0.001
imprinted_2022,COVOX-253H165L,D614G,0.001
imprinted_2022,COVA2-39,D614G,0.001
imprinted_2022,COVA2-04,D614G,0.287
imprinted_2022,COVA1-16,D614G,0.253
imprinted_2022,CC12.3,D614G,0.0027
imprinted_2022,CC12.1,D614G,0.0112
imprinted_2022,LY-CoV016,D614G,0.032
imprinted_2022,C1A-F10,D614G,0.0037
imprinted_2022,C1A-C2,D614G,0.0056
imprinted_2022,C1A-B3,D614G,0.0112
imprinted_2022,C1A-B12,D614G,0.0034
imprinted_2022,C144,D614G,0.00739
imprinted_2022,C121,D614G,0.0087
imprinted_2022,C119,D614G,0.145
imprinted_2022,C110,D614G,0.075
imprinted_2022,C105,D614G,0.0983
imprinted_2022,C102,D614G,0.127
imprinted_2022,C002,D614G,0.0655
imprinted_2022,P2B-2F6,D614G,0.0312
imprinted_2022,BG1-24,D614G,0.001
imprinted_2022,B38,D614G,2.2
imprinted_2022,7D6,D614G,10.0
imprinted_2022,2-15,D614G,0.0017
imprinted_2022,1-57,D614G,0.0065
imprinted_2022,BD55-1009,D614G,0.00195
imprinted_2022,BD55-1027,D614G,1.14
imprinted_2022,BD55-1028,D614G,10.0
imprinted_2022,BD55-1029,D614G,0.126
imprinted_2022,BD55-1034,D614G,10.0
imprinted_2022,BD55-1035,D614G,0.001
imprinted_2022,BD55-1038,D614G,10.0
imprinted_2022,BD55-1039,D614G,0.134
imprinted_2022,BD55-1041,D614G,1.68
imprinted_2022,BD55-1049,D614G,0.0477
imprinted_2022,BD55-1051,D614G,0.00139
imprinted_2022,BD55-1064,D614G,0.455
imprinted_2022,BD55-1065,D614G,0.00132
imprinted_2022,BD55-1070,D614G,10.0
imprinted_2022,BD55-1075,D614G,0.0344
imprinted_2022,BD55-1087,D614G,10.0
imprinted_2022,BD55-1092,D614G,0.00225
imprinted_2022,BD55-1093,D614G,10.0
imprinted_2022,BD55-1104,D614G,0.0013
imprinted_2022,BD55-1117,D614G,0.487
imprinted_2022,BD55-1128,D614G,10.0
imprinted_2022,BD55-1129,D614G,0.0942
imprinted_2022,BD55-1132,D614G,10.0
imprinted_2022,BD55-1136,D614G,0.00195
imprinted_2022,BD55-1140,D614G,10.0
imprinted_2022,BD55-1141,D614G,10.0
imprinted_2022,BD55-1144,D614G,10.0
imprinted_2022,BD55-1145,D614G,10.0
imprinted_2022,BD55-1146,D614G,5.52
imprinted_2022,BD55-1162,D614G,10.0
imprinted_2022,BD55-1179,D614G,10.0
imprinted_2022,BD55-1180,D614G,0.001
imprinted_2022,BD55-1192,D614G,0.693
imprinted_2022,BD55-1211,D614G,10.0
imprinted_2022,BD55-1214,D614G,10.0
imprinted_2022,BD55-1223,D614G,0.0757
imprinted_2022,BD55-1226,D614G,4.4
imprinted_2022,BD55-1239,D614G,0.0303
imprinted_2022,BD55-1241,D614G,2.28
imprinted_2022,BD55-1242,D614G,10.0
imprinted_2022,BD55-1244,D614G,0.991
imprinted_2022,BD55-1245,D614G,0.298
imprinted_2022,BD55-1249,D614G,0.0152
imprinted_2022,BD55-1256,D614G,0.001
imprinted_2022,BD55-1257,D614G,10.0
imprinted_2022,BD55-1263,D614G,0.001
imprinted_2022,BD55-1266,D614G,0.87
imprinted_2022,BD55-1268,D614G,0.00185
imprinted_2022,BD55-1273,D614G,0.0461
imprinted_2022,BD55-1275,D614G,10.0
imprinted_2022,BD55-1278,D614G,10.0
imprinted_2022,BD55-1297,D614G,1.95
imprinted_2022,BD55-1332,D614G,10.0
imprinted_2022,BD55-1334,D614G,0.001
imprinted_2022,BD55-1338,D614G,0.846
imprinted_2022,BD55-1341,D614G,10.0
imprinted_2022,BD55-1343,D614G,1.43
imprinted_2022,BD55-1354,D614G,0.0138
imprinted_2022,BD55-1374,D614G,0.0285
imprinted_2022,BD55-1391,D614G,10.0
imprinted_2022,BD55-1396,D614G,10.0
imprinted_2022,BD55-1398,D614G,1.47
imprinted_2022,BD55-1403,D614G,0.002
imprinted_2022,BD55-1405,D614G,0.0741
imprinted_2022,BD55-1421,D614G,0.0036
imprinted_2022,BD55-1429,D614G,0.423
imprinted_2022,BD55-1432,D614G,1.43
imprinted_2022,BD55-1435,D614G,0.0506
imprinted_2022,BD55-1445,D614G,10.0
imprinted_2022,BD55-1450,D614G,0.0238
imprinted_2022,BD55-1453,D614G,1.49
imprinted_2022,BD55-1458,D614G,2.5
imprinted_2022,BD55-1464,D614G,10.0
imprinted_2022,BD55-1499,D614G,10.0
imprinted_2022,BD55-1508,D614G,1.43
imprinted_2022,BD55-1558,D614G,7.21
imprinted_2022,BD55-1579,D614G,0.0455
imprinted_2022,BD55-1604,D614G,10.0
imprinted_2022,BD55-1694,D614G,0.0017
imprinted_2022,BD55-1706,D614G,0.0034
imprinted_2022,BD-807,D614G,0.013
imprinted_2022,BD55-1789,D614G,0.249
imprinted_2022,BD-809,D614G,0.455
imprinted_2022,BD55-1809,D614G,4.92
