study,antibody,virus,IC50
imprinted_2022,BD55-1297,BA.1,10.0
imprinted_2022,BD55-1332,BA.1,10.0
imprinted_2022,BD55-1334,BA.1,10.0
imprinted_2022,BD55-1338,BA.1,5.01
imprinted_2022,BD55-1341,BA.1,10.0
imprinted_2022,BD55-1343,BA.1,10.0
imprinted_2022,BD55-1354,BA.1,0.663
imprinted_2022,BD55-1374,BA.1,10.0
imprinted_2022,BD55-1391,BA.1,10.0
imprinted_2022,BD55-1396,BA.1,10.0
imprinted_2022,BD55-1398,BA.1,10.0
imprinted_2022,BD55-1403,BA.1,10.0
imprinted_2022,BD55-1405,BA.1,10.0
imprinted_2022,BD55-1421,BA.1,10.0
imprinted_2022,BD55-1429,BA.1,10.0
imprinted_2022,BD55-1432,BA.1,10.0
imprinted_2022,BD55-1435,BA.1,10.0
imprinted_2022,BD55-1445,BA.1,10.0
imprinted_2022,BD55-1450,BA.1,10.0
imprinted_2022,BD55-1453,BA.1,1.87
imprinted_2022,BD55-1458,BA.1,10.0
imprinted_2022,BD55-1464,BA.1,10.0
imprinted_2022,BD55-1499,BA.1,10.0
imprinted_2022,BD55-1508,BA.1,10.0
imprinted_2022,BD55-1558,BA.1,10.0
imprinted_2022,BD55-1579,BA.1,10.0
imprinted_2022,BD55-1604,BA.1,10.0
imprinted_2022,BD55-1694,BA.1,10.0
imprinted_2022,BD55-1706,BA.1,0.824
imprinted_2022,BD-807,BA.1,10.0
imprinted_2022,BD55-1789,BA.1,10.0
imprinted_2022,BD-809,BA.1,1.31
imprinted_2022,BD55-1809,BA.1,10.0
imprinted_2022,BD55-1831,BA.1,4.64
imprinted_2022,BD-815,BA.1,0.838
imprinted_2022,BD55-1868,BA.1,10.0
imprinted_2022,BD-817,BA.1,10.0
imprinted_2022,BD-819,BA.1,10.0
imprinted_2022,BD-821,BA.1,10.0
imprinted_2022,BD-822,BA.1,10.0
imprinted_2022,BD-824,BA.1,10.0
imprinted_2022,BD55-1962,BA.1,1.2
imprinted_2022,BD-827,BA.1,0.0289
imprinted_2022,BD-828,BA.1,10.0
imprinted_2022,BD-833,BA.1,10.0
imprinted_2022,BD-835,BA.1,10.0
imprinted_2022,BD-837,BA.1,0.00082
imprinted_2022,BD-843,BA.1,10.0
imprinted_2022,BD-846,BA.1,10.0
imprinted_2022,BD-849,BA.1,10.0
imprinted_2022,BD-863,BA.1,10.0
imprinted_2022,BD-864,BA.1,0.784
imprinted_2022,BD-870,BA.1,10.0
imprinted_2022,BD-898,BA.1,0.00032
imprinted_2022,BD-899,BA.1,10.0
imprinted_2022,BD-900,BA.1,10.0
imprinted_2022,BD-904,BA.1,0.19
imprinted_2022,BD-906,BA.1,10.0
imprinted_2022,BD-907,BA.1,0.296
imprinted_2022,BD-912,BA.1,0.965
imprinted_2022,BD-913,BA.1,10.0
imprinted_2022,BD55-547,BA.1,10.0
imprinted_2022,BD55-556,BA.1,10.0
imprinted_2022,BD55-557,BA.1,10.0
imprinted_2022,BD55-583,BA.1,10.0
imprinted_2022,BD55-587,BA.1,10.0
imprinted_2022,BD55-593,BA.1,10.0
imprinted_2022,BD55-598,BA.1,10.0
imprinted_2022,BD55-599,BA.1,10.0
imprinted_2022,BD55-600,BA.1,10.0
imprinted_2022,BD55-603,BA.1,10.0
imprinted_2022,BD55-606,BA.1,10.0
imprinted_2022,BD55-616,BA.1,0.00812
imprinted_2022,BD55-632,BA.1,0.214
imprinted_2022,BD55-659,BA.1,0.589
imprinted_2022,BD55-676,BA.1,10.0
imprinted_2022,BD55-682,BA.1,10.0
imprinted_2022,BD55-683,BA.1,10.0
imprinted_2022,BD55-688,BA.1,2.64
imprinted_2022,BD55-696,BA.1,10.0
imprinted_2022,BD55-711,BA.1,10.0
imprinted_2022,BD55-725,BA.1,10.0
imprinted_2022,BD55-742,BA.1,10.0
imprinted_2022,BD55-745,BA.1,10.0
imprinted_2022,BD55-746,BA.1,2.39
imprinted_2022,BD55-747,BA.1,3.18
imprinted_2022,BD55-749,BA.1,4.5
imprinted_2022,BD55-958,BA.1,10.0
imprinted_2022,BD55-965,BA.1,0.0872
imprinted_2022,BD55-970,BA.1,10.0
imprinted_2022,BD55-972,BA.1,10.0
imprinted_2022,BD55-977,BA.1,10.0
imprinted_2022,BD55-979,BA.1,10.0
imprinted_2022,BD55-988,BA.1,10.0
imprinted_2022,BD55-998,BA.1,10.0
imprinted_2022,WIBP-2B11,BA.1,10.0
imprinted_2022,BD-732,BA.1,10.0
imprinted_2022,BD-739,BA.1,10.0
imprinted_2022,BD-743,BA.1,6.57
imprinted_2022,BD-744,BA.1,0.151
imprinted_2022,BD-748,BA.1,0.213
imprinted_2022,BD-751,BA.1,3.99
imprinted_2022,BD-758,BA.1,10.0
imprinted_2022,BD-643,BA.1,10.0
imprinted_2022,BD-767,BA.1,10.0
imprinted_2022,BD-771,BA.1,0.0309
imprinted_2022,BD-778,BA.1,2.45
imprinted_2022,BD-790,BA.1,10.0
imprinted_2022,BD-791,BA.1,10.0
imprinted_2022,BD-796,BA.1,3.19
imprinted_2022,BD-801,BA.1,2.64
imprinted_2022,BD-804,BA.1,0.151
imprinted_2022,BD-805,BA.1,1.35
imprinted_2022,BD-915,BA.1,10.0
imprinted_2022,BD-916,BA.1,1.41
imprinted_2022,BD-917,BA.1,2.83
imprinted_2022,BD-918,BA.1,10.0
imprinted_2022,BD-922,BA.1,10.0
imprinted_2022,BD55-300,BA.1,10.0
imprinted_2022,BD55-311,BA.1,1.89
imprinted_2022,BD55-316,BA.1,10.0
imprinted_2022,BD55-319,BA.1,10.0
imprinted_2022,BD-667,BA.1,10.0
imprinted_2022,BD55-387,BA.1,1.57
imprinted_2022,BD55-389,BA.1,10.0
imprinted_2022,BD-670,BA.1,10.0
imprinted_2022,BD-692,BA.1,4.37
imprinted_2022,BD-693,BA.1,10.0
imprinted_2022,BD-694,BA.1,10.0
imprinted_2022,BD-695,BA.1,10.0
imprinted_2022,BD-702,BA.1,10.0
imprinted_2022,BD-708,BA.1,10.0
imprinted_2022,BD55-81,BA.1,10.0
imprinted_2022,BD55-814,BA.1,10.0
imprinted_2022,BD55-818,BA.1,10.0
imprinted_2022,BD55-822,BA.1,1.34
imprinted_2022,BD55-824,BA.1,10.0
imprinted_2022,BD55-828,BA.1,10.0
imprinted_2022,BD55-829,BA.1,10.0
imprinted_2022,BD-713,BA.1,0.125
imprinted_2022,BD55-833,BA.1,10.0
imprinted_2022,BD55-837,BA.1,10.0
imprinted_2022,BD55-839,BA.1,10.0
imprinted_2022,BD55-842,BA.1,10.0
imprinted_2022,BD55-846,BA.1,10.0
imprinted_2022,BD55-847,BA.1,10.0
imprinted_2022,BD-715,BA.1,10.0
imprinted_2022,BD55-852,BA.1,10.0
imprinted_2022,BD55-853,BA.1,10.0
imprinted_2022,BD55-854,BA.1,10.0
imprinted_2022,BD55-856,BA.1,10.0
imprinted_2022,BD55-859,BA.1,10.0
imprinted_2022,BD55-862,BA.1,10.0
imprinted_2022,BD55-863,BA.1,10.0
imprinted_2022,BD55-864,BA.1,10.0
imprinted_2022,BD55-867,BA.1,10.0
imprinted_2022,BD55-868,BA.1,10.0
imprinted_2022,BD55-870,BA.1,10.0
imprinted_2022,BD55-871,BA.1,10.0
imprinted_2022,BD55-873,BA.1,10.0
imprinted_2022,BD55-874,BA.1,10.0
imprinted_2022,BD55-875,BA.1,10.0
imprinted_2022,BD55-876,BA.1,10.0
imprinted_2022,BD55-878,BA.1,10.0
imprinted_2022,BD55-879,BA.1,10.0
imprinted_2022,BD55-880,BA.1,1.18
imprinted_2022,BD55-887,BA.1,0.447
imprinted_2022,BD55-888,BA.1,10.0
imprinted_2022,BD55-892,BA.1,0.319
imprinted_2022,BD55-893,BA.1,10.0
imprinted_2022,BD55-898,BA.1,10.0
imprinted_2022,BD55-899,BA.1,10.0
imprinted_2022,BD55-902,BA.1,10.0
imprinted_2022,BD55-903,BA.1,10.0
imprinted_2022,BD55-905,BA.1,10.0
imprinted_2022,BD55-906,BA.1,0.593
imprinted_2022,BD55-910,BA.1,10.0
imprinted_2022,BD55-911,BA.1,10.0
imprinted_2022,BD55-913,BA.1,10.0
imprinted_2022,BD55-914,BA.1,10.0
imprinted_2022,BD55-917,BA.1,10.0
imprinted_2022,BD55-918,BA.1,10.0
imprinted_2022,BD55-920,BA.1,10.0
imprinted_2022,BD55-925,BA.1,10.0
imprinted_2022,BD55-929,BA.1,10.0
imprinted_2022,BD55-93,BA.1,10.0
imprinted_2022,BD55-930,BA.1,10.0
imprinted_2022,BD55-931,BA.1,10.0
imprinted_2022,BD55-934,BA.1,10.0
imprinted_2022,BD55-935,BA.1,10.0
imprinted_2022,BD55-936,BA.1,10.0
imprinted_2022,BD55-939,BA.1,0.843
imprinted_2022,BD55-942,BA.1,10.0
imprinted_2022,BD55-944,BA.1,10.0
imprinted_2022,BD55-947,BA.1,10.0
imprinted_2022,BD55-948,BA.1,1.08
imprinted_2022,BD-725,BA.1,0.199
imprinted_2022,BD55-97,BA.1,10.0
imprinted_2022,XG2v-004,BA.1,10.0
imprinted_2022,XG2v-006,BA.1,0.657
imprinted_2022,XG2v-032,BA.1,0.0257
imprinted_2022,XG2v-033,BA.1,3.4
imprinted_2022,XG2v-039,BA.1,3.3
imprinted_2022,XG2v-045,BA.1,10.0
imprinted_2022,XG2v-052,BA.1,1.01
imprinted_2022,XG2v-070,BA.1,10.0
imprinted_2022,XG2v-083,BA.1,10.0
imprinted_2022,XG2v-095,BA.1,0.604
imprinted_2022,XG2v-098,BA.1,10.0
imprinted_2022,XG2v-126,BA.1,0.649
imprinted_2022,XGv-003,BA.1,10.0
imprinted_2022,XGv-008,BA.1,10.0
imprinted_2022,XGv-010,BA.1,10.0
imprinted_2022,XGv-011,BA.1,0.593
imprinted_2022,XGv-014,BA.1,10.0
imprinted_2022,XGv-016,BA.1,0.0511
imprinted_2022,XGv-018,BA.1,6.5
imprinted_2022,XGv-023,BA.1,10.0
imprinted_2022,XGv-024,BA.1,10.0
imprinted_2022,XGv-032,BA.1,10.0
imprinted_2022,XGv-038,BA.1,1.64
imprinted_2022,XGv-039,BA.1,10.0
imprinted_2022,XGv-040,BA.1,10.0
imprinted_2022,XGv-047,BA.1,0.335
imprinted_2022,XGv-049,BA.1,10.0
imprinted_2022,XGv-050,BA.1,2.54
imprinted_2022,XGv-056,BA.1,10.0
imprinted_2022,XGv-057,BA.1,10.0
imprinted_2022,XGv-072,BA.1,2.05
imprinted_2022,XGv-073,BA.1,10.0
imprinted_2022,XGv-080,BA.1,0.223
imprinted_2022,XGv-094,BA.1,10.0
imprinted_2022,XGv-097,BA.1,1.27
imprinted_2022,XGv-107,BA.1,0.781
imprinted_2022,XGv-116,BA.1,1.01
imprinted_2022,XGv-152,BA.1,1.02
imprinted_2022,XGv-155,BA.1,1.43
imprinted_2022,XGv-172,BA.1,10.0
imprinted_2022,XGv-174,BA.1,2.21
imprinted_2022,XGv-175,BA.1,0.0923
imprinted_2022,XGv-179,BA.1,2.01
imprinted_2022,XGv-19,BA.1,10.0
imprinted_2022,XGv-191,BA.1,9.13
imprinted_2022,XGv-198,BA.1,0.7
imprinted_2022,XGv-199,BA.1,0.229
imprinted_2022,XGv-20,BA.1,2.74
imprinted_2022,XGv-208,BA.1,10.0
imprinted_2022,XGv-212,BA.1,0.189
imprinted_2022,XGv-214,BA.1,2.69
imprinted_2022,XGv-225,BA.1,0.562
imprinted_2022,XGv-227,BA.1,0.492
imprinted_2022,XGv-232,BA.1,10.0
imprinted_2022,XGv-233,BA.1,1.19
imprinted_2022,XGv-236,BA.1,10.0
imprinted_2022,XGv-250,BA.1,10.0
imprinted_2022,XGv-251,BA.1,0.407
imprinted_2022,XGv-252,BA.1,6.55
imprinted_2022,XGv-253,BA.1,10.0
imprinted_2022,XGv-261,BA.1,0.0121
imprinted_2022,XGv-263,BA.1,10.0
imprinted_2022,XGv-264,BA.1,0.00164
imprinted_2022,XGv-265,BA.1,10.0
imprinted_2022,XGv-266,BA.1,10.0
imprinted_2022,XGv-279,BA.1,6.76
imprinted_2022,XGv-282,BA.1,3.33
imprinted_2022,XGv-284,BA.1,0.0195
imprinted_2022,XGv-285,BA.1,10.0
imprinted_2022,XGv-286,BA.1,0.00234
imprinted_2022,XGv-287,BA.1,10.0
imprinted_2022,XGv-288,BA.1,0.488
imprinted_2022,XGv-289,BA.1,0.0162
imprinted_2022,XGv-290,BA.1,3.38
imprinted_2022,XGv-291,BA.1,0.0519
imprinted_2022,XGv-292,BA.1,1.17
imprinted_2022,XGv-293,BA.1,0.00366
imprinted_2022,XGv-294,BA.1,10.0
imprinted_2022,XGv-295,BA.1,0.16
imprinted_2022,XGv-296,BA.1,2.21
imprinted_2022,XGv-297,BA.1,0.0201
imprinted_2022,XGv-298,BA.1,10.0
imprinted_2022,XGv-300,BA.1,0.0806
imprinted_2022,XGv-305,BA.1,10.0
imprinted_2022,XGv-306,BA.1,10.0
imprinted_2022,XGv-311,BA.1,10.0
imprinted_2022,XGv-318,BA.1,10.0
imprinted_2022,XGv-324,BA.1,10.0
imprinted_2022,XGv-337,BA.1,0.0208
imprinted_2022,XGv-343,BA.1,0.379
imprinted_2022,XGv-345,BA.1,0.22
imprinted_2022,XGv-346,BA.1,0.615
imprinted_2022,XGv-347,BA.1,0.00489
imprinted_2022,XGv-360,BA.1,2.5
imprinted_2022,XGv-401,BA.1,0.522
imprinted_2022,XGv-402,BA.1,10.0
imprinted_2022,XGv-404,BA.1,10.0
imprinted_2022,XGv-409,BA.1,1.5
imprinted_2022,XGv-412,BA.1,10.0
imprinted_2022,XGv-418,BA.1,2.0
imprinted_2022,XGv-420,BA.1,10.0
imprinted_2022,XGv-421,BA.1,10.0
imprinted_2022,XGv-422,BA.1,0.378
imprinted_2022,BD57-001,BA.1,0.403
imprinted_2022,BD57-002,BA.1,0.254
imprinted_2022,BD57-003,BA.1,0.0398
imprinted_2022,BD57-005,BA.1,0.0345
imprinted_2022,BD57-006,BA.1,0.00426
imprinted_2022,BD57-012,BA.1,0.00601
imprinted_2022,BD57-013,BA.1,0.0413
imprinted_2022,BD57-014,BA.1,0.0413
imprinted_2022,BD57-015,BA.1,0.0867
imprinted_2022,BD57-017,BA.1,0.0318
imprinted_2022,BD57-018,BA.1,0.0824
imprinted_2022,BD57-020,BA.1,1.02
imprinted_2022,BD57-022,BA.1,0.0463
imprinted_2022,BD57-023,BA.1,0.0231
imprinted_2022,BD57-024,BA.1,0.0103
imprinted_2022,BD57-025,BA.1,0.00119
imprinted_2022,BD57-026,BA.1,0.298
imprinted_2022,BD57-027,BA.1,0.0212
imprinted_2022,BD57-028,BA.1,0.00623
imprinted_2022,BD57-029,BA.1,0.069
imprinted_2022,BD57-030,BA.1,1.69
imprinted_2022,BD57-031,BA.1,0.0593
imprinted_2022,BD57-034,BA.1,0.0269
imprinted_2022,BD57-037,BA.1,0.00438
imprinted_2022,BD57-038,BA.1,0.00268
imprinted_2022,BD57-039,BA.1,0.436
imprinted_2022,BD57-041,BA.1,0.0308
imprinted_2022,BD57-042,BA.1,0.00543
imprinted_2022,BD57-043,BA.1,0.00243
imprinted_2022,BD57-045,BA.1,0.001
imprinted_2022,BD57-046,BA.1,0.0167
imprinted_2022,BD57-047,BA.1,0.0147
imprinted_2022,BD57-049,BA.1,0.00651
imprinted_2022,BD57-051,BA.1,0.65
imprinted_2022,BD57-052,BA.1,0.0955
imprinted_2022,BD57-053,BA.1,0.019
imprinted_2022,BD57-054,BA.1,0.00687
imprinted_2022,BD57-056,BA.1,0.00111
imprinted_2022,BD57-057,BA.1,6.85
imprinted_2022,BD57-058,BA.1,0.0569
imprinted_2022,BD57-059,BA.1,0.0143
imprinted_2022,BD57-060,BA.1,0.0938
imprinted_2022,BD57-061,BA.1,0.391
imprinted_2022,BD57-062,BA.1,0.00306
imprinted_2022,BD57-063,BA.1,0.673
imprinted_2022,BD57-064,BA.1,10.0
imprinted_2022,BD57-065,BA.1,0.0337
imprinted_2022,BD57-066,BA.1,1.02
imprinted_2022,BD57-067,BA.1,0.00363
imprinted_2022,BD57-068,BA.1,0.145
imprinted_2022,BD57-069,BA.1,0.286
imprinted_2022,BD57-071,BA.1,0.209
imprinted_2022,BD57-072,BA.1,10.0
imprinted_2022,BD57-073,BA.1,0.459
imprinted_2022,BD57-074,BA.1,10.0
imprinted_2022,BD57-075,BA.1,10.0
imprinted_2022,BD57-076,BA.1,10.0
imprinted_2022,BD57-077,BA.1,0.0482
imprinted_2022,BD57-078,BA.1,0.0341
imprinted_2022,BD57-079,BA.1,0.001
imprinted_2022,BD57-082,BA.1,0.00622
imprinted_2022,BD57-083,BA.1,10.0
imprinted_2022,BD57-085,BA.1,0.0136
imprinted_2022,BD57-088,BA.1,5.87
imprinted_2022,BD57-089,BA.1,0.00963
imprinted_2022,BD57-090,BA.1,10.0
imprinted_2022,BD57-091,BA.1,10.0
imprinted_2022,BD57-092,BA.1,7.56
imprinted_2022,BD57-093,BA.1,10.0
imprinted_2022,BD57-097,BA.1,6.56
imprinted_2022,BD57-098,BA.1,0.00354
imprinted_2022,BD57-099,BA.1,0.21
imprinted_2022,BD57-100,BA.1,0.638
imprinted_2022,BD56-003,BA.1,0.679
imprinted_2022,BD56-005,BA.1,0.0738
imprinted_2022,BD56-007,BA.1,0.529
imprinted_2022,BD56-008,BA.1,10.0
imprinted_2022,BD56-010,BA.1,0.646
imprinted_2022,BD56-012,BA.1,0.00522
imprinted_2022,BD56-016,BA.1,0.00438
imprinted_2022,BD56-019,BA.1,0.615
imprinted_2022,BD56-021,BA.1,0.00129
imprinted_2022,BD56-022,BA.1,0.00234
imprinted_2022,BD56-027,BA.1,0.00296
imprinted_2022,BD56-028,BA.1,0.00254
imprinted_2022,BD56-031,BA.1,0.00732
imprinted_2022,BD56-033,BA.1,10.0
imprinted_2022,BD56-037,BA.1,2.15
imprinted_2022,BD56-040,BA.1,0.151
imprinted_2022,BD56-042,BA.1,10.0
imprinted_2022,BD56-048,BA.1,0.0778
imprinted_2022,BD56-049,BA.1,0.001
imprinted_2022,BD56-052,BA.1,10.0
imprinted_2022,BD56-054,BA.1,0.0531
imprinted_2022,BD56-055,BA.1,0.263
imprinted_2022,BD56-056,BA.1,10.0
imprinted_2022,BD56-057,BA.1,10.0
imprinted_2022,BD56-059,BA.1,0.397
imprinted_2022,BD56-063,BA.1,10.0
imprinted_2022,BD56-066,BA.1,0.0171
imprinted_2022,BD56-068,BA.1,1.75
imprinted_2022,BD56-069,BA.1,0.056
imprinted_2022,BD56-070,BA.1,0.0798
imprinted_2022,BD56-071,BA.1,0.00839
imprinted_2022,BD56-073,BA.1,3.58
imprinted_2022,BD56-075,BA.1,10.0
imprinted_2022,BD56-076,BA.1,0.001
imprinted_2022,BD56-077,BA.1,0.0199
imprinted_2022,BD56-081,BA.1,10.0
imprinted_2022,BD56-082,BA.1,10.0
imprinted_2022,BD56-086,BA.1,10.0
imprinted_2022,BD56-087,BA.1,0.0723
imprinted_2022,BD56-088,BA.1,10.0
imprinted_2022,BD56-090,BA.1,0.0552
imprinted_2022,BD56-091,BA.1,0.0331
imprinted_2022,BD56-097,BA.1,10.0
imprinted_2022,BD56-098,BA.1,0.0825
imprinted_2022,BD56-100,BA.1,10.0
imprinted_2022,BD56-101,BA.1,10.0
imprinted_2022,BD56-103,BA.1,6.57
imprinted_2022,BD56-105,BA.1,10.0
imprinted_2022,BD56-107,BA.1,10.0
imprinted_2022,BD56-109,BA.1,3.66
imprinted_2022,BD56-110,BA.1,0.972
imprinted_2022,BD56-111,BA.1,3.22
imprinted_2022,BD56-112,BA.1,0.427
imprinted_2022,BD56-114,BA.1,10.0
imprinted_2022,BD56-116,BA.1,10.0
imprinted_2022,BD56-117,BA.1,10.0
imprinted_2022,BD56-119,BA.1,10.0
imprinted_2022,BD56-120,BA.1,10.0
imprinted_2022,BD56-121,BA.1,10.0
imprinted_2022,BD56-122,BA.1,10.0
imprinted_2022,BD56-123,BA.1,10.0
imprinted_2022,BD56-124,BA.1,3.37
imprinted_2022,BD56-125,BA.1,10.0
imprinted_2022,BD56-126,BA.1,10.0
imprinted_2022,BD56-127,BA.1,5.53
imprinted_2022,BD56-130,BA.1,10.0
imprinted_2022,BD56-131,BA.1,10.0
imprinted_2022,BD56-132,BA.1,10.0
imprinted_2022,BD56-133,BA.1,3.12
imprinted_2022,BD56-134,BA.1,10.0
imprinted_2022,BD56-138,BA.1,10.0
imprinted_2022,BD56-139,BA.1,10.0
imprinted_2022,BD56-140,BA.1,9.71
imprinted_2022,BD56-141,BA.1,10.0
imprinted_2022,BD56-142,BA.1,10.0
imprinted_2022,BD56-143,BA.1,10.0
imprinted_2022,BD56-144,BA.1,10.0
imprinted_2022,BD56-145,BA.1,10.0
imprinted_2022,BD56-147,BA.1,0.001
imprinted_2022,BD56-148,BA.1,1.31
imprinted_2022,BD56-152,BA.1,0.0223
imprinted_2022,BD56-153,BA.1,7.05
imprinted_2022,BD56-154,BA.1,0.716
imprinted_2022,BD56-155,BA.1,10.0
imprinted_2022,BD56-156,BA.1,10.0
imprinted_2022,BD56-157,BA.1,10.0
imprinted_2022,BD56-158,BA.1,10.0
imprinted_2022,BD56-159,BA.1,10.0
imprinted_2022,BD56-161,BA.1,1.44
imprinted_2022,BD56-164,BA.1,10.0
imprinted_2022,BD56-165,BA.1,10.0
imprinted_2022,BD56-166,BA.1,10.0
imprinted_2022,BD56-167,BA.1,10.0
imprinted_2022,BD56-169,BA.1,2.11
imprinted_2022,BD56-170,BA.1,1.72
imprinted_2022,BD56-171,BA.1,0.97
imprinted_2022,BD56-172,BA.1,6.62
imprinted_2022,BD56-173,BA.1,10.0
imprinted_2022,BD56-174,BA.1,10.0
imprinted_2022,BD56-177,BA.1,10.0
imprinted_2022,BD56-179,BA.1,7.84
imprinted_2022,BD56-181,BA.1,1.64
imprinted_2022,BD56-184,BA.1,10.0
imprinted_2022,BD56-187,BA.1,0.0035
imprinted_2022,BD56-188,BA.1,2.41
imprinted_2022,BD56-189,BA.1,10.0
imprinted_2022,BD56-190,BA.1,10.0
imprinted_2022,BD56-193,BA.1,10.0
imprinted_2022,BD56-194,BA.1,10.0
imprinted_2022,BD56-195,BA.1,1.94
imprinted_2022,BD56-197,BA.1,2.23
imprinted_2022,BD56-199,BA.1,10.0
imprinted_2022,BD56-204,BA.1,3.71
imprinted_2022,BD56-208,BA.1,3.06
imprinted_2022,BD56-210,BA.1,10.0
imprinted_2022,BD56-213,BA.1,0.776
imprinted_2022,BD56-215,BA.1,10.0
imprinted_2022,BD56-216,BA.1,10.0
imprinted_2022,BD56-217,BA.1,10.0
imprinted_2022,BD56-218,BA.1,8.26
imprinted_2022,BD56-219,BA.1,10.0
imprinted_2022,BD56-220,BA.1,1.37
imprinted_2022,BD56-223,BA.1,10.0
imprinted_2022,BD56-224,BA.1,10.0
imprinted_2022,BD56-232,BA.1,0.0688
imprinted_2022,BD56-233,BA.1,0.0814
imprinted_2022,BD56-260,BA.1,10.0
imprinted_2022,BD56-263,BA.1,8.23
imprinted_2022,BD56-264,BA.1,10.0
imprinted_2022,BD56-265,BA.1,0.0116
imprinted_2022,BD56-300,BA.1,0.00107
imprinted_2022,BD56-322,BA.1,0.303
imprinted_2022,BD56-327,BA.1,0.262
imprinted_2022,BD56-330,BA.1,10.0
imprinted_2022,BD56-331,BA.1,10.0
imprinted_2022,BD56-332,BA.1,10.0
imprinted_2022,BD56-333,BA.1,10.0
imprinted_2022,BD56-395,BA.1,1.02
imprinted_2022,BD56-400,BA.1,0.001
imprinted_2022,BD56-412,BA.1,0.215
imprinted_2022,BD56-416,BA.1,1.3
imprinted_2022,BD56-418,BA.1,0.0837
imprinted_2022,BD56-419,BA.1,0.146
imprinted_2022,BD56-420,BA.1,0.503
imprinted_2022,BD56-423,BA.1,0.146
imprinted_2022,BD56-424,BA.1,0.00412
imprinted_2022,BD56-426,BA.1,0.0121
imprinted_2022,BD56-427,BA.1,10.0
imprinted_2022,BD56-428,BA.1,0.00374
imprinted_2022,BD56-430,BA.1,0.0828
imprinted_2022,BD56-431,BA.1,0.00243
imprinted_2022,BD56-433,BA.1,0.454
imprinted_2022,BD56-436,BA.1,0.0143
imprinted_2022,BD56-437,BA.1,10.0
imprinted_2022,BD56-438,BA.1,0.00593
imprinted_2022,BD56-442,BA.1,0.0483
imprinted_2022,BD56-444,BA.1,0.0405
imprinted_2022,BD56-447,BA.1,0.0177
imprinted_2022,BD56-451,BA.1,0.104
imprinted_2022,BD56-454,BA.1,0.0103
imprinted_2022,BD56-456,BA.1,0.041
imprinted_2022,BD56-457,BA.1,0.0936
imprinted_2022,BD56-458,BA.1,0.546
imprinted_2022,BD56-461,BA.1,8.68
imprinted_2022,BD56-464,BA.1,0.763
imprinted_2022,BD56-467,BA.1,0.0492
imprinted_2022,BD56-468,BA.1,0.101
imprinted_2022,BD56-469,BA.1,3.98
imprinted_2022,BD56-470,BA.1,0.00447
imprinted_2022,BD56-471,BA.1,0.001
imprinted_2022,BD56-472,BA.1,0.075
imprinted_2022,BD56-474,BA.1,0.0256
imprinted_2022,BD56-475,BA.1,6.35
imprinted_2022,BD56-476,BA.1,0.334
imprinted_2022,BD56-477,BA.1,4.94
imprinted_2022,BD56-479,BA.1,0.0368
imprinted_2022,BD56-480,BA.1,0.0955
imprinted_2022,BD56-481,BA.1,10.0
imprinted_2022,BD56-482,BA.1,0.00639
imprinted_2022,BD56-483,BA.1,0.00105
imprinted_2022,BD56-484,BA.1,1.93
imprinted_2022,BD56-487,BA.1,0.00808
imprinted_2022,BD56-488,BA.1,0.012
imprinted_2022,BD56-489,BA.1,0.00944
imprinted_2022,BD56-490,BA.1,0.00975
imprinted_2022,BD56-491,BA.1,4.06
imprinted_2022,BD56-494,BA.1,10.0
imprinted_2022,BD56-495,BA.1,2.1
imprinted_2022,BD56-499,BA.1,0.0401
imprinted_2022,BD56-500,BA.1,0.0767
imprinted_2022,BD56-501,BA.1,3.55
imprinted_2022,BD56-504,BA.1,0.161
imprinted_2022,BD56-505,BA.1,0.018
imprinted_2022,BD56-506,BA.1,0.001
imprinted_2022,BD56-507,BA.1,0.375
imprinted_2022,BD56-510,BA.1,0.00123
imprinted_2022,BD56-515,BA.1,10.0
imprinted_2022,BD56-516,BA.1,0.011
imprinted_2022,BD56-518,BA.1,0.0148
imprinted_2022,BD56-519,BA.1,0.0476
imprinted_2022,BD56-520,BA.1,0.0345
imprinted_2022,BD56-522,BA.1,6.32
imprinted_2022,BD56-523,BA.1,8.64
imprinted_2022,BD56-524,BA.1,0.0024
imprinted_2022,BD56-525,BA.1,0.246
imprinted_2022,BD56-526,BA.1,10.0
imprinted_2022,BD56-529,BA.1,10.0
imprinted_2022,BD56-530,BA.1,3.63
imprinted_2022,BD56-531,BA.1,10.0
imprinted_2022,BD56-532,BA.1,1.13
imprinted_2022,BD56-533,BA.1,8.32
imprinted_2022,BD56-534,BA.1,0.188
imprinted_2022,BD56-535,BA.1,0.0122
imprinted_2022,BD56-537,BA.1,0.036
imprinted_2022,BD56-538,BA.1,0.00209
imprinted_2022,BD56-541,BA.1,3.95
imprinted_2022,BD56-543,BA.1,10.0
imprinted_2022,BD56-545,BA.1,10.0
imprinted_2022,BD56-547,BA.1,7.04
imprinted_2022,BD56-548,BA.1,3.24
imprinted_2022,BD56-549,BA.1,10.0
imprinted_2022,BD56-552,BA.1,0.855
imprinted_2022,BD56-553,BA.1,10.0
imprinted_2022,BD56-554,BA.1,0.00979
imprinted_2022,BD56-555,BA.1,10.0
imprinted_2022,BD56-557,BA.1,10.0
imprinted_2022,BD56-559,BA.1,10.0
imprinted_2022,BD56-560,BA.1,0.542
imprinted_2022,BD56-561,BA.1,1.43
